fingerprint,title,author,issue,date,categories,tags,id,license,source,source-hostname,hostname,filename,has_text
16FhImyebZdskccSPFP8UfGiIS8=,Natural Selection,Lindsey Duncan,Issue 76: 4th Quarter 2020,2020-09-08,Fiction,,,,https://www.abyssapexzine.com/2020/09/natural-selection/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/ASa94ZS1p9-N7ltRTmbsMMfXvi4.json,TRUE
1EBm+Py2hOlHxODamenVRjxiVTQ=,Land’s End Light,Stephen A. Roddewig,Issue 81: 1st Quarter 2022,2022-01-01,Fiction,,,,https://www.abyssapexzine.com/2022/01/lands-end-light/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/O4dXcE+OeIYl8R-133ePl95cuyI.json,TRUE
1I1bnQw20CHGao2FKFHLYMuk6NQ=,Breakthrough,David J. Wright,Issue 12: November-December 2004,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2004/abyss-apex-november-december-2004-breakthrough/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/eRQjGo9z+cTc27k8l8WolGDivDg.json,TRUE
1U29uhGXa3wgvzFdXL+MmItpTPc=,Rain Walker,S.J. Logan,Issue 84: 4th Quarter 2022,2022-09-14,Fiction,,,,https://www.abyssapexzine.com/2022/09/rain-walker/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/S+A9K2Wn7bAOhWp7DYVjEswuov4.json,TRUE
1vfWBlcJdypkRR9/rq4Y+heNOEk=,"Mirror, Mirror",Mark English,Issue 68: 4th Quarter 2018,2018-08-28,Fiction,,,,https://www.abyssapexzine.com/2018/08/mirror-mirror/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/pX-fa0p+NOfG93aN1ZGwRywzDJY.json,TRUE
20hulzCln4fuEIH5Ey96c2SRGIA=,Binary Star System,Phoebe Wood,Issue 83: 3rd Quarter 2022,2022-06-13,Flash,,,,https://www.abyssapexzine.com/2022/06/binary-star-system/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/yyPWA9d80THmicVJ9GoKP6V2nl8.json,TRUE
2Gt8WbbeQeLg9lt6LukBYbx2t70=,Eclipsed Seasons,Jamie Mason ,Issue 72: 4th Quarter 2019,2019-09-06,Fiction,,,,https://www.abyssapexzine.com/2019/09/eclipsed-seasons/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/vfiTCKOTRL1x7549warNRbIEq+M.json,TRUE
2KtUPe10aBzgEOIccp1AR7I7goc=,The Coin Whisperer,Sarah Craft,Issue 51: 3rd Quarter 2014,2014-06-30,Fiction,,,,https://www.abyssapexzine.com/2014/06/the_coin_whisperer/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/7LX9jxc7TslCflcUA5DbUi3p7cQ.json,TRUE
2L1WtveL/ogP81WdOMS+zKwm7SQ=,Egg Lilies,Brenda Kalt,Issue 63: 3rd Quarter 2017,2017-06-20,Fiction,,,,https://www.abyssapexzine.com/2017/06/egg-lilies/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/d6pcbVqmvOdKmB4HSIVcI07msxs.json,TRUE
2M8RI4fSGfffVbY1E2T1jLgcX8E=,Little Guilt Thing Goin’ On,James Maxey,Issue 5: September/October 2003,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2003/abyss-apex-septembernovember-2003-little-guilt-thing-goin-on/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/BZUbUVa5EKVUe8kh0LQaiioX2BU.json,TRUE
2NYbIxKY3YLXEidCQfWzqYQB5zU=,Birthday Card,Jess Leigh Unrein,Issue 85: 1st Quarter 2023,2023-01-01,Flash Fiction,,,,https://www.abyssapexzine.com/2023/01/birthday-card/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/uNLoJjy65IPmjKiYZY6MPWumZ3o.json,TRUE
2Q1dz3174LrGdVmvWiDvQtl6LQg=,Unicorn’s Rest,Jill Knowles,Issue 18: 2nd Quarter (April) 2006,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2006/abyss-apex-second-quarter-2006-unicorns-rest/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/UONFIA9CXEjbzcTclWhfJw2YC7Q.json,TRUE
2RIuY5DP3GDt5COGNyXCiKh47IA=,Affairs of Honor,Fraser Sherman,Issue 51: 3rd Quarter 2014,2014-06-30,Fiction,,,,https://www.abyssapexzine.com/2014/06/affairs-of-honor/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/U0pwXMGpNhm7wLCUn9DZrcdfblM.json,TRUE
2RwzRGcnhVpgpI0KLV56oXxvF2g=,Walking The Valley,Jeremy Minton,Issue 21: 1st Quarter 2007,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2007/walking-the-valley/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/Fj2y-28Nq27DomvqEVpHW7E6ST8.json,TRUE
2dZ4imiWxxaJpZ2upDTs0FUPZPk=,Flood,Jennifer Pelland,Issue 17: 1st Quarter (January-February) 2006,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2006/abyss-apex-first-quarter-2006-flood/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/jeYQLUkMdkS98SrtylmXR4GBAAs.json,TRUE
324P3amc0kldaGEjPWzU1keDrTY=,Demonfire Ash,Helen E. Davis,Issue 38: 2nd Quarter 2011,2011-04-02,Fiction,,,,https://www.abyssapexzine.com/2011/04/demonfire-ash-by-helen-e-davis/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/+X+8X4cUxdouctHh3g9e+dtIovU.json,TRUE
39RfVHZNjZAI9Oq/TgQlS9ongWU=,Sumo21,Daniel Braum,Issue 16: 4th Quarter 2005,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2005/abyss-apex-fourth-quarter-2005-sumo21/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/Hq5U17re8ZG2aBV1wjjnC0+THe4.json,TRUE
3EezokRojVYOYrK6qOWCrPUWV0Q=,The Golden Daffodils,James Van Pelt,Issue 62: 2nd Quarter 2017,2017-03-23,Fiction,,,,https://www.abyssapexzine.com/2017/03/the-golden-daffodils/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/qffyoa0nzI2RRuLQmcJI3AB0HrI.json,TRUE
3NzLuFG40pUS85ymFUF8zyrckPk=,Boy Chick,Samantha Bryant,Issue 80: 4th Quarter 2021,2021-09-03,Flash,,,,https://www.abyssapexzine.com/2021/09/boy-chick/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/XJy0dAwZclSwhX7wXRr9vuz+Qqo.json,TRUE
3Uu0o/zi2lzQifsHp1LO+H2dES8=,Chinvat Bridge,Erin Cashier,Issue 35: 3rd Quarter 2010,2011-01-02,Short Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2010/chinvat-bridge/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/UUWcvtJyb+cRBP+7v1Z0nmlmD+E.json,TRUE
3eFyyC36HV4kbGJ4VdCGdZZkG6E=,Tanya Got a Dragon,Topher Froehlich,Issue 80: 4th Quarter 2021,2021-12-05,Fiction,,,,https://www.abyssapexzine.com/2021/12/tanya-got-a-dragon/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/sriEw4DNY9YKT4NBSk+mUUfomUA.json,TRUE
3fu+lbaQvlXqHN6W0rrYEpYngFw=,May Nothing But Happiness Come Through Your Door,Robert Bagnall,Issue 74: 2nd Quarter 2020,2020-03-11,Fiction,,,,https://www.abyssapexzine.com/2020/03/may-nothing-but-happiness-come-through-your-door/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/n0HqIq9WKBWHhoOqPs6i+ZsZ51E.json,TRUE
3g3lUDNcvaoco7CK7ZTn5r3p3Ts=,Sunlight,Kelly Dwyer,Issue 36: 4th Quarter 2010,2011-01-02,Short Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2010/sunlight/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/shmm9iAGHrXwlnLDXw3KZc0+y1g.json,TRUE
3iMqZJKwJeKgQUaSrkfJRJNqVxc=,Call Me Fang,Tom D Wright,Issue 67: 3rd Quarter 2018,2018-06-08,Fiction,,,,https://www.abyssapexzine.com/2018/06/call-me-fang/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/0TJXwq9CYtXilqj5URmy0U57tAI.json,TRUE
4/oyeo3TiCHULQG3O7B4wVgFm+E=,Human Help Desk,Larry Hodges,Issue 47: 3rd Quarter 2013,2013-06-27,Flash Fiction,,,,https://www.abyssapexzine.com/2013/06/human-help-desk/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/dvqsPx61JR21i-pvGPyt28DGSo4.json,TRUE
48+AJ2Ec9v/VvQxRWTeADT+W0jA=,Lace Downstairs,Arkady Martine,Issue 44: 4th Quarter 2012,2012-09-27,Fiction,,,,https://www.abyssapexzine.com/2012/09/lace-downstairs/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/lU0BvgezQ23vCzsthrNeBrb18n0.json,TRUE
48LJGwiUOYFmF59iYm7UnbY8zxo=,Socorro,Samantha L Knapp,Issue 46: 2nd Quarter 2013,2013-04-01,Fiction,,,,https://www.abyssapexzine.com/2013/03/socorro-sl-knapp/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/j5EhrJuioYFSFf3qc3v7ICmnMi4.json,TRUE
4Cc5bKl2ku6x4IZfT8nclCPwZk4=,And Our Lady Splendor,Matthew Wuertz,Issue 45: 1st Quarter 2013,2013-01-01,Fiction,,,,https://www.abyssapexzine.com/2013/01/and-our-lady-splendor/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/UFjuRtawR4FopQRMniEflu-dR7o.json,TRUE
4DWI6DsTKwdcrmf6OmIts2NKcZ4=,The Ghosts of Los Hellas,RJ Astruc,Issue 19: 3rd Quarter 2006,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2006/the-ghosts-of-los-hellas/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/UkjVChgHI6+l7IstF6P6y2LpUCY.json,TRUE
4GQZ7CYoO/9mQBo17QIuysgv5gw=,The Red Oleander Murders,Sean Patrick Hazlett ,Issue 71: 3rd Quarter 2019,2019-06-07,Fiction,,,,https://www.abyssapexzine.com/2019/06/the-red-oleander-murders/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/SE8L9jXIzpCEZqBz7Sdm1NsO8QE.json,TRUE
4U+9HG4vv+0sXQfpwQGKA6ngf40=,God’s Guitar – Part Two,Justin Stanchfield,Issue 6: November/December 2003,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2003/abyss-apex-novemberdecember-2003-gods-guitar-part-ii/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/p8tlrLAsc+Lp1tH0qxbLm3Ua2LI.json,TRUE
4aL+lcvnjdV6H24OcWgPKA9N6rY=,The Last Tower,C.J. Cherryh,Issue 37: 1st Quarter 2011,2010-12-28,Flash Fiction,,,,https://www.abyssapexzine.com/2010/12/the-last-tower/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/EzvJxxEu5H9576yDpXMSTGDjzqU.json,TRUE
4n8/mbQaujinlRtUMGoRaQfyNXE=,The Giveaway box,M. E. Garber,Issue 56: 4th Quarter 2015,2015-09-14,Flash Fiction,,,,https://www.abyssapexzine.com/2015/09/the-giveaway-box/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/gDc-Q8e5nRd1yM3m01PtN7to+p4.json,TRUE
4rYbVlZ7iY62Kr/nOMytc+BJzf4=,Cold Currents,M. E. Garber,Issue 69: 1st Quarter 2019,2019-01-01,Flash Fiction,,,,https://www.abyssapexzine.com/2019/01/cold-currents/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/PzvaxB0qIdAR+njKIrdWGpPq62o.json,TRUE
5GsaAZT7v8InKh1f/G9V3IjhXwo=,Projections Do Not Guarantee Future Returns,Marc Singer ,Issue 69: 1st Quarter 2019,2019-01-01,Fiction,,,,https://www.abyssapexzine.com/2019/01/projections-do-not-guarantee-future-returns/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/paWgffJ+rXDj4nv3HZDViOnpboI.json,TRUE
5HLpV1dNbE4pfAOFavh79b0n1O8=,Spirits in the Night,Michael Swanwick,Issue 36: 4th Quarter 2010,2011-01-02,Flash Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2010/spirits-in-the-night/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/AlW7ewKx-V3O6-OEXQ1dsRFe4-A.json,TRUE
5NGASvs7H/qctP4vZzy6/JngceI=,"Feathers, Sea, Silk, Sky",Anna Martino,Issue 78: 2nd Quarter 2021,2021-04-01,Fiction,,,,https://www.abyssapexzine.com/2021/04/feathers-silk-sea-sky/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/eaMiQtdYe-R4ZqHgPgHm2U67CEE.json,TRUE
5RoNspNKTHAnDxDQuBpeeHLPgFw=,Heat of the Moment,Gordon Linzner,Issue 81: 1st Quarter 2022,2022-01-01,Fiction,,,,https://www.abyssapexzine.com/2022/01/heat-of-the-moment/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/+f97VQrrZ7WeJqHnld1ZV9Pq390.json,TRUE
5WLkoeIvi3smeP1A0Xe15zbyjgo=,Dead Man Walking,Jeremy Szal,Issue 65: 1st Quarter 2018,2018-01-01,Fiction,,,,https://www.abyssapexzine.com/2018/01/dead-men-walking/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/3GDuXP7ZsYejwYA14C9kH9usJe4.json,TRUE
5ZlhjkzIiIN+huKtW/hHwo4L/Ys=,After The Revolution,Pauline J. Alama,Issue 29: 1st Quarter 2009,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2009/after-the-revolution/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/2bS-oCMUY1ytKNeqQ1LIIYPANPI.json,TRUE
5cQcgFDuB6PJplWlAlissycxK9U=,Happy Students Martinez Middle School,Jonathon Mast,Issue 83: 3rd Quarter 2022,2022-06-10,Fiction,,,,https://www.abyssapexzine.com/2022/06/98201/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/pCXTOfiMF07CAkD1yucnykfvZBI.json,TRUE
5hwEM6uS/UkYtZBezbylQGj7xuU=,A Reluctant Emcee,Mark A. Rayner,Issue 11: October 2004,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2004/abyss-apex-october-2004-a-reluctant-emcee/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/xN2CzsCuuUd-BZ+Lep1ixtTJaHQ.json,TRUE
5nhHFhX6jD1fh4KT4aEIC0dOeZ8=,Rainbows And Other Shapes,Patricia Russo,Issue 31: 3rd Quarter 2009,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2009/rainbows-and-other-shapes/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/PoMX8G+eWhjWJbp6D9Y2+vJ39Po.json,TRUE
5r6XpNq24IuVcWsSwsCUo+s6lPk=,The Chinese Chef Was A Hologram,Max Salnikov,Issue 32: 4th Quarter 2009,2011-01-02,Flash Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2009/the-chinese-chef-was-a-hologram/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/rKefUJh6k-TGBd5KVq+FVtCaDII.json,TRUE
6Dcr6BxrKLyzKlo1JbNiFy6r60w=,A New Bridge Across the Lethe,Howard V. Hendrix,Issue 37: 1st Quarter 2011,2010-12-28,Fiction,,,,https://www.abyssapexzine.com/2010/12/a-new-bridge-across-the-lethe/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/fqb8HhUbm0dPcZYQCR52L2+haQY.json,TRUE
6LDgW3JwAclM9tgtwRYeWWXiA1U=,What They Wanted,M.K. Hobson,Issue 14: 2nd Quarter (April) 2005,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2005/abyss-apex-second-quarter-2005-what-they-wanted/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/HJE3alrXB07OTW5wqeGZUyfDqDY.json,TRUE
6gJLKyLVhdBIRts85pF3lmZVx5g=,Wolfling,Laura Anne Gilman,Issue 26: 2nd Quarter 2008,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2008/wolfling/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/rNy4KTXoI77neQCHgX9n1d1ZrYc.json,TRUE
6hFeMW/VVG39j6tFixkcQvkp8iQ=,All and Nothing,Chadwick Ginther,Issue 66: 2nd Quarter 2018,2018-03-05,Fiction,,,,https://www.abyssapexzine.com/2018/03/all-and-nothing/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/GqpZCAJ25jUXvx6qrZe5Hec7XCM.json,TRUE
6i4JvBa05BJxLCsh2W1byxS+TO4=,The Way Things Work,Tom Jolly,Issue 82: 2nd Quarter 2022,2022-03-07,Fiction,,,,https://www.abyssapexzine.com/2022/03/the-way-things-work/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/XSipNMu84UMh1QkBhbPqJh6PTHA.json,TRUE
6p98rzNTTyv6aGCSX+Xj/Zr1XSM=,Looking Out For Number One,Patrick Hudson,Issue 24: 4th Quarter 2007,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2007/looking-out-for-number-one/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/GuTA+Sm1Rc+LISjdjFF9cwAbhGs.json,TRUE
7Mp0H7qCAEw3/DwNIQiawlw/vxU=,The Consequential Effects of Practiced Penmanship,Marc A. Criley,Issue 66: 2nd Quarter 2018,2018-03-05,Fiction,,,,https://www.abyssapexzine.com/2018/03/penmanship/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/o9WxL1Ru2OfaR6icwXjMD7WrFps.json,TRUE
7l2O4IOyG5YSbT79JpTu4nsVtJc=,The Dwarf Femme and the Dragon,Charie’ Craig,Issue 53: 1st Quarter 2015,2015-01-01,Fiction,,,,https://www.abyssapexzine.com/2014/12/the-dwarf-femme-and-the-dragon/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/ct7DRexC04S2u6LbZfBAluwib3k.json,TRUE
7oowgzQ5uxamph5PeYPRSMfpA3Q=,Adrift,Wayne Martin,Issue 69: 1st Quarter 2019,2019-01-01,Fiction,,,,https://www.abyssapexzine.com/2019/01/adrift/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/aw9aRl0+DjXbBtAM-35JG4nqpKI.json,TRUE
7qQ8lVInotefLlss9GwS2qGQb0Y=,A Demon of Almansol,Alter S. Reiss,Issue 41: 1st Quarter 2012,2011-12-29,Fiction,,,,https://www.abyssapexzine.com/2011/12/a-demon-of-almansol/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/nrE3zL+b8t4HE1lfphnwzPTfDtA.json,TRUE
7yBu0ovV/0fxbAJY6bmC6+r7Kgk=,Bird in a Cage,Leena Likitalo,Issue 46: 2nd Quarter 2013,2013-04-01,Fiction,,,,https://www.abyssapexzine.com/2013/03/bird-in-a-cage-leena-likitalo/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/SkJrcKPMKpLVrwGt2dF+5MhmQQM.json,TRUE
85ss04P/du++OgARsCpF4nszYHQ=,Replica,Pauline Yates,Issue 67: 3rd Quarter 2018,2018-06-15,Flash Fiction,,,,https://www.abyssapexzine.com/2018/06/replica/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/6WfUI09cTGPwEPwsJ9PKy3HlaDM.json,TRUE
8707xbY2WXjhC5FmMm7mt6KloLs=,Faith is a Nanooka,Corie Ralston,Issue 53: 1st Quarter 2015,2014-12-09,Fiction,,,,https://www.abyssapexzine.com/2014/12/faith-is-a-nanooka/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/NamQBFLzrTiPp+qSjI8ZJJCiegk.json,TRUE
89XIuKCjkbE0EQe7UlSboJ0n2L4=,The Specialist,Andrew Kaye,Issue 55: 3rd Quarter 2015,2015-06-15,Flash,,,,https://www.abyssapexzine.com/2015/06/the-specialist/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/8SFp2P2I3LNOIgikz8XhZPbTlDM.json,TRUE
8FfmqODRGVC77nzkxNHk5QIBVrM=,Data Runners,Stephen Gaskell,Issue 47: 3rd Quarter 2013,2013-06-27,Fiction,"nsa,surveillance,one-time,cloaking,cloaked,runners,covert",,,https://www.abyssapexzine.com/2013/06/data-runners/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/WL38NtpYUWTtwa54T2dfLHQFWAs.json,TRUE
8IglKrmPhXSxjU7zlCTZI6vd9c0=,Freeing Teresa,JD Paradise,Issue 23: 3rd Quarter 2007,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2007/freeing-teresa/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/IdxRF4+NWx0zvRfUmk3cmvhpmLw.json,TRUE
8P86D3J9JeAKLu6K4yRFVWxnlb0=,The Onmyoji’s Wife,Kate MacLeod,Issue 55: 3rd Quarter 2015,2015-06-15,Fiction,,,,https://www.abyssapexzine.com/2015/06/the_onmyojis_wife/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/tGUiKfYW-Mf98HyMYAgjRiKkm-8.json,TRUE
8PC608N4cuonF3Zsj8HgH2eC/hI=,Aurum, Genevieve Valentine,Issue 42: 2nd Quarter 2012,2012-03-29,Fiction,,,,https://www.abyssapexzine.com/2012/03/aurum/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/jD5AxTAZOwsCcUOhLAn7+NUY-xI.json,TRUE
8hVC06tFa5WZRUKW1RS2gtxOjOQ=,The Moth Princess,Emi Makanry,Issue 54: 2nd Quarter 2015,2015-03-24,Fiction,,,,https://www.abyssapexzine.com/2015/03/the-moth-princess/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/i88EZXZydu1TYR4n00y+NiGTAy0.json,TRUE
8j9EKuvm0/1tSU4Qd0op5Za7J9Y=,Relic,Gunnar De Winter,Issue 75: 3rd Quarter 2020,2020-06-18,Fiction,,,,https://www.abyssapexzine.com/2020/06/relic/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/gFP2lwwZMW2S3BT5ve2sR19SR30.json,TRUE
8nwthE3TGfEUzjfhDM7gH6GwKog=,The Truth About Unicorns,Jennifer Hykes,Issue 54: 2nd Quarter 2015,2015-03-17,Fiction,,,,https://www.abyssapexzine.com/2015/03/the-truth-about-unicorns/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/N+-kNHnxmOPm2JcK39PGu1rxWVA.json,TRUE
998i4mwzuXRDDz6dJykYbRJiNZw=,The Parts of Us that Remember,Andrew Giffin,Issue 82: 2nd Quarter 2022,2022-03-07,Fiction,,,,https://www.abyssapexzine.com/2022/03/the-parts-of-us-that-remember/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/SLwEi4CCkLLZ9dYwD47tp3rEydg.json,TRUE
9GDVS/U9ISQsvmHW6dbmOKjJVqg=,Mothers and Daughters,Marta Murvosh ,Issue 72: 4th Quarter 2019,2019-09-06,Fiction,,,,https://www.abyssapexzine.com/2019/09/mothers-and-daughters/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/VjGGhGAnGc15z68DFBrC2Cbi-yQ.json,TRUE
9VjbiVyxsA5U74av+aMAr4IU4wE=,Barleycorn,Cae Hawksmoor,Issue 66: 2nd Quarter 2018,2018-03-05,Fiction,,,,https://www.abyssapexzine.com/2018/03/barleycorn/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/3y7RPZbN4Zs9oZ2tmEOuQT+2fBk.json,TRUE
