fingerprint,title,author,hostname,date,categories,tags,id,license,source,source-hostname,excerpt,filename
mlUUoJY8TwSEdGrSnaXNhoM1rlQ=,"Deadfall Hotel: ""The King of the Cats,"" Part 3",Jeffvandermeer,weirdfictionreview.com,2011-12-15,Fiction,,,,https://weirdfictionreview.com/2011/12/deadfall-hotel-the-king-of-the-cats-part-3/,Weird Fiction Review,"Steve Rasnic Tem’s Deadfall Hotel has been keenly anticipated by weird fiction geeks for more than two decades, ever since horror icon Charles L. Grant published the story “Bloodwolf” in his anthology Shadows 9 (1986). Tem, a winner of the World Fantasy Award and British Fantasy Award, noted that the story was the seed for a much […]",./scrape/jsonfiles/xEWaBjFqiE7paxJQCryNPCyq+EU.json
UbohJPcMc8kctG1mkaiTRXBJFi4=,"""A Twilight"" by Michel de Ghelderode",David Davis,weirdfictionreview.com,2017-06-27,Fiction,Belgian;fantastique;france;weird fiction,,,https://weirdfictionreview.com/2017/06/a-twilight/,Weird Fiction Review,"The following story appears in the collection Spells by Michel de Ghelderode, out this year from Wakefield Press. It is translated from French by George MacLennan. Michel de Ghelderode (1898−1962) was a Belgian author of drama, poetry, and short stories. Born to a royal archivist father and devoutly religious mother, the author began writing plays in 1916. His work, […]",./scrape/jsonfiles/PhHAUETKx-E7ZS0cli-0iJNq3oI.json
FMh7CmJwD+2UNe3yIan/0ycGIeY=,Excerpt: The Beak Doctor,Adam Mills,weirdfictionreview.com,2012-03-05,Fiction,,,,https://weirdfictionreview.com/2012/03/excerpt-the-beak-doctor-by-eric-basso/,Weird Fiction Review,"Weirdfictionreview.com is proud to present an excerpt from Eric Basso’s novella “The Beak Doctor,” featured in The Weird: A Compendium of Strange and Dark Stories. It is also the title work of Basso’s collection of short fiction, The Beak Doctor: Short Fiction 1972 – 1976. “The Beak Doctor” has had a cult following among avant-garde gothic writers since it was […]",./scrape/jsonfiles/CCCxGtObEznw-cpSzmpZ5-HMklg.json
vHizqAf8fMFhUBF5kAVbQNTUS+4=,He: An Unknown's Story -- Original Russian Version,Adam Mills,weirdfictionreview.com,2013-10-30,Fiction,,,,https://weirdfictionreview.com/2013/10/he-an-unknowns-story-original-russian-version/,Weird Fiction Review,"The following is the original, untranslated version of Leonid Andreyev’s story “He: An Unknown’s Story” in Russian, written in 1913. We thought it would be worthwhile presenting this story in its original language, as both a means of paying tribute to the story’s original composition as well as the recent translation into English by Vlad Zhenevsky. […]",./scrape/jsonfiles/uXLkuPHNfKXQzr-ZBfLpuuWR2LI.json
LmCB2PlxaSSNm4Yem1Xa0NypDho=,The Bloat Toad,Jeffvandermeer,weirdfictionreview.com,2011-12-11,Fiction,,,,https://weirdfictionreview.com/2011/12/the-bloat-toad/,Weird Fiction Review,"Leopoldo Lugones (1874 – 1938) was an Argentine journalist and writer influenced by the Symbolists. “The Bloat Toad” (1906) is typical of his slightly off-kilter tales. This week, WFR.com is also running Larry Nolen’s essay on translating “The Bload Toad.” This new translation first appeared in ODD?, the first of an ongoing anthology series we’re […]",./scrape/jsonfiles/+VmcyaNCxH3qnAMraJIToln4hHU.json
+Z11U7MVAQ66Lm3J5fgTPj5cFI4=,It's a Good Life,Jeffvandermeer,weirdfictionreview.com,2012-10-12,Fiction,,,,https://weirdfictionreview.com/2012/10/creepy-classic-its-a-good-life/,Weird Fiction Review,"Jerome Bixby (1923 — 1998) was an American short story and script writer who wrote four Star Trek episodes and helped write the story that became the classic sci-fi movie Fantastic Voyage (1966). He is most famous for the “It’s a Good Life” (1953), also made into a Twilight Zone episode and included in Twilight Zone: The Movie (1983). […]",./scrape/jsonfiles/4D0X+wxo5qVRpquQGarZI1M0kso.json
QWxcmAgm7iGuacJ3zrwM2Dozoeg=,Rara Avis,Adam Mills,weirdfictionreview.com,2013-04-30,Fiction,,,,https://weirdfictionreview.com/2013/04/rara-avis/,Weird Fiction Review,"Belgian fabulist Bernard Quiriny (1978- ) is the author of one novel and three short story collections. His first, Fear of the First Line (Phébus, 2005), which won the Prix Littéraire de la Vocation, , a prize previously won by such notables as Christophe Bataille, Amélie Nothomb, Jean-Philippe Toussaint, Didier Van Cauwelaert, and Shan Sa. His […]",./scrape/jsonfiles/fs5Bpvc4CnpPlpoGSff4hxiqBLg.json
Jqy6uqX3QGnK8811AfXIHITi+QM=,Strabismus,Adam Mills,weirdfictionreview.com,2012-07-10,Fiction,,,,https://weirdfictionreview.com/2012/07/strabismus/,Weird Fiction Review,"Stefan Grabiński (1887 — 1936) was a Polish writer of horror fiction who considered himself an expert on demonology and magic. Some critics have called him the “Polish Poe” or the “Polish Lovecraft,” and suggested he believed in the supernatural forces in his stories. Known primarily as a novelist, he wrote many short stories, including those under the name […]",./scrape/jsonfiles/em6m6ifQIHPehJUHU5F2nUHGr-c.json
E3Vzj+Yn9fyRgh88WhGG/E6D/KA=,The Magnetized Corpse,David Davis,weirdfictionreview.com,2015-05-07,Fiction,fiction;french;weird fiction,,,https://weirdfictionreview.com/2015/05/the-magnetized-corpse/,Weird Fiction Review,"Translated by Brian Stableford Originally published in 1845 With regard to good stories, here is one that was told to me by a trustworthy man, who claimed to be the friend of a friend of an eye-witness who played a significant role in the drama that I am about to relate to you briefly, not without making the ardent wish […]",./scrape/jsonfiles/R3FY8UBr0VorniTfNner0XgMnvY.json
l8QGHqvKmGL4GpD3Z0ydV2g/qQU=,The Lost Machine: Chapter Six,David Davis,weirdfictionreview.com,2016-02-08,Fiction;The Lost Machine,,,,https://weirdfictionreview.com/2016/02/the-lost-machine-chapter-six/,Weird Fiction Review,"WFR is proud to serialize The Lost Machine in support of its author and illustrator, Richard A. Kirk. We will be reprinting the entire novel with its illustrations over the course of five weeks with a new chapter every Monday and Wednesday. Wherever possible, formatting has been made to match that available in the e‑book. This part of […]",./scrape/jsonfiles/ueRkdnO9o9x3V+vSupoTy+1T7VY.json
BgRX3tAO+Hj8VzonmYwTimdiAWQ=,Time Drafts,David Davis,weirdfictionreview.com,2016-06-06,Fiction,fiction;Michael Cisco;short story;time;weird fiction,,,https://weirdfictionreview.com/2016/06/time-drafts/,Weird Fiction Review,"Back up beepers and the long roars of an engine hectored me through my earplugs out of a sound sleep at quarter to seven, watery late November sunlight in the curtain folds. Alone in bed after losing a girlfriendargument aloud I curse streets that can’t go a week without being torn up, houses and apartment buildings scraped and gutted […]",./scrape/jsonfiles/Jvw4YNNcaQi2-zXBLneT1YPYQLs.json
MzK1tLNv0Fm0J5XFmrdjJpjUKmI=,Excerpt: Anonym,Adam Mills,weirdfictionreview.com,2013-07-30,Fiction,,,,https://weirdfictionreview.com/2013/07/excerpt-anonym/,Weird Fiction Review,"Eric Basso (1947– ) is an American poet, novelist, playwright, and critic, and also a perennial favorite of the staff at Weirdfictionreview.com. Despite being criminally overlooked in contemporary literature, his writing is important to the development and possible futures of weird fiction. His novella “The Beak Doctor,” long a cult favorite among avant-garde gothic writers, was reprinted […]",./scrape/jsonfiles/gkGAEg5KSIF56a6ZUt9cpZE77NA.json
L/GUZ0ggjLW6GIZaHNekfJHf2QQ=,"Deadfall Hotel: ""The King of the Cats,"" Part 4 of 4",Jeffvandermeer,weirdfictionreview.com,2011-12-17,Fiction,,,,https://weirdfictionreview.com/2011/12/deadfall-hotel-the-king-of-the-cats-part-4-of-4/,Weird Fiction Review,"Steve Rasnic Tem’s Deadfall Hotel has been keenly anticipated by weird fiction geeks for more than two decades, ever since horror icon Charles L. Grant published the story “Bloodwolf” in his anthology Shadows 9 (1986). Tem, a winner of the World Fantasy Award and British Fantasy Award, noted that the story was the seed for a much […]",./scrape/jsonfiles/LifGi8yJGO6YiOAQn24ddBpyQGo.json
TIufTDsllgEE265kTAYXMy2DyEY=,"Excerpt: ""Monster Portraits"" by Del Samatar and Sofia Samatar",David Davis,weirdfictionreview.com,2018-02-22,Fiction,illustrated fiction;sofia samatar;weird art;weird fiction,,,https://weirdfictionreview.com/2018/02/excerpt-monster-portraits-del-samatar-sofia-samatar/,Weird Fiction Review,"This excerpt is from Monster Portraits written by Sofia Samatar and illustrated by Del Samatar, which is out this week from Rose Metal Press. We’re also featuring a review by Desirina Boskovich. — The Editors The Collector of Treasures The Collector of Treasures has clever arms to hold you. The frozen chamber reeks of mice. At the witching […]",./scrape/jsonfiles/j18eg8wQgw2ke2881jI4Hk72Xgo.json
yPNcFb8tU/umZ8tQG04wN6FWKcE=,Buddha Nostril Bird,Adam Mills,weirdfictionreview.com,2013-08-06,Fiction,,,,https://weirdfictionreview.com/2013/08/buddha-nostril-bird/,Weird Fiction Review,"This week’s featured story is “Buddha Nostril Bird,” written by John Kessel and originally published in Asimov’s Science Fiction in 1990. This story has subsequently been reprinted numerous times, most recently in The Collected Kessel, available in ebook form. It is also featured in the anthology The Secret History of Science Fiction, which Kessel co-edited alongside […]",./scrape/jsonfiles/cmYp4V4GfxAZDwXlZjkB8FecQGg.json
fstsCf22aBbQQuljbXI0IJx4jHc=,"""Two Episodes"" by Alfred Leman",David Davis,weirdfictionreview.com,2017-03-06,Fiction,east germany;German;germany;scifi;translated fiction;weird scifi,,,https://weirdfictionreview.com/2017/03/two-episodes/,Weird Fiction Review,"After you read this story, check out our interview with translator Erik Simon for some background on it and Alfred Leman. Translated by Erik Simon From Der unsichtbare Dispatcher (Berlin, 1980). Kioshi Tokito and Anatol Bykov are plodding over the black sintered tuff. They are silent. There are some things to be discussed, but right now they prefer just […]",./scrape/jsonfiles/1gMfggJZi3xk6j537YYwP8TxTt0.json
+FpoSg+xU6Fx8In/Qkp0EEhrWCY=,Lull,Edward Gauvin,weirdfictionreview.com,2014-06-18,Fiction;From the Archives,fiction;short stories;weird fiction,,,https://weirdfictionreview.com/2014/06/lull/,Weird Fiction Review,"EDITOR’S NOTE: We are thrilled to present Kelly Link’s weird and wonderful short story “Lull,” with special permission by the author. “Lull” copyright ©2002 was first published in Conjunctions 39 and reprinted in Kelly Link’s Magic For Beginners (Random House, 2014). There was a lull in the conversation. We were down in the basement, sitting […]",./scrape/jsonfiles/W68HCA0ee7Zmsz+3ti-VpMoFeHs.json
9N690oNbSsZ9/BuM6pr1/dso6hg=,"""The Sand-man"" by E.T.A. Hoffmann",David Davis,weirdfictionreview.com,2015-02-27,Fiction,fiction;hoffmann;uncanny;weird fiction,,,https://weirdfictionreview.com/2015/02/sand-man/,Weird Fiction Review,"The following story is part of our uncanny literature week. Be sure to check out our interview with Marjorie Sandor as well as Sandor’s essay on the subject. “The Sand-man“1 Translated by J. T. Bealby Nathanael to Lothair I know you are all very uneasy because I have not written for such a long, long time. Mother, to be sure, is […]",./scrape/jsonfiles/QHb937oQrU2EQJfg2-s5M5jyVek.json
qhhSmqBHtV2N1CBlatgsxX9d6xQ=,"""Quintus Erectus""",Jeffvandermeer,weirdfictionreview.com,2011-11-15,Fiction,,,,https://weirdfictionreview.com/2011/11/quintus-erectus-by-michal-ajvaz/,Weird Fiction Review,"""The quintus was extremely cuddly; but I must confess that its cuddliness wasn´t pleasant for me.""",./scrape/jsonfiles/C2XcF1mtz+DLyMuLNhFDi10r8-M.json
Z+rWbHqaMfxDhsA6bnlCKhXFJ5o=,The Plague,Edward Gauvin,weirdfictionreview.com,2014-06-16,Fiction,fiction;short stories;translations,,,https://weirdfictionreview.com/2014/06/the-plague/,Weird Fiction Review,"Marcel Schwob (1867−1905) was a French symbolist author, remembered for his numerous and varied short stories, literary monographs, newspaper chronicles of fin-de-siècle Paris, and linguistic tracts on medieval slang, much of which sprang from his fabled devotion to archival research. While his work has fallen into relative obscurity, it was hailed in his day by writers […]",./scrape/jsonfiles/RPptZ3R+quKbmFJy-Q8P9CYkeFk.json
iS/58zzb8KNAQv8MBLzYob2kiTw=,"""Day of the Builders"" by Kristine Ong Muslim",David Davis,weirdfictionreview.com,2016-09-12,Fiction,fiction;filipino author;weird fiction,,,https://weirdfictionreview.com/2016/09/day-of-the-builders/,Weird Fiction Review,The following story originally appears in Kristine Ong Muslim’s 2016 collection Age of Blight. Be sure to also check out our interview with Muslim. *** This happened long before the initial signs of sickness from the outsiders rippled across my village. You should understand by now how my people were easy prey because most of us […],./scrape/jsonfiles/GG1XKEiC4F7SUtVB-Um+adeW648.json
PnXu8P6YR95F8vUVHiziy+SiL3o=,"The Mouth, Open",Adam Mills,weirdfictionreview.com,2013-02-05,Fiction,,,,https://weirdfictionreview.com/2013/02/the-mouth-open/,Weird Fiction Review,"Aurora-winning poet Helen Marshall is an author, editor, and bibliophile. Her poetry and fiction have been published in The Chiaroscuro, Paper Crow, Abyss & Apex, Lady Churchill’s Rosebud Wristlet and Tor.com. She recently released a collection of poems entitled Skeleton Leaves from Kelp Queen Press and her collection of short stories Hair Side, Flesh Side was released […]",./scrape/jsonfiles/LiGp2peXxsl8wXA1bMjBRrQm-gY.json
mK5duxmVO8mHo5GZWUbMYX81rfA=,Excerpt: Town of Shadows,Adam Mills,weirdfictionreview.com,2012-09-25,Fiction,,,,https://weirdfictionreview.com/2012/09/excerpt-town-of-shadows/,Weird Fiction Review,"Lindsay Stern is the author of the recently published Town of Shadows, available from Scrambler Books and soon to be available at a variety of book vendors. A native of New York City, Stern is currently working on a B.A. in English and Philosophy at Amherst College, where she’s already at work on her follow-up novel. Town of […]",./scrape/jsonfiles/omEzZkOJ-L3Ibcl3lXHy7vKZHJg.json
h715Hz2mx5hUjIEwJiTXCvEsGIo=,The Divinity Student: Part Nine,Adam Mills,weirdfictionreview.com,2013-10-10,Fiction;The Divinity Student,,,,https://weirdfictionreview.com/2013/10/the-divinity-student-part-nine/,Weird Fiction Review,"The following is an excerpt from Michael Cisco’s novel The Divinity Student, currently available in e‑book form from Cheeky Frawg Books, in addition to several other of his novels. WFR is proud to serialize The Divinity Student in support of the author and his books, and we will be reprinting the entire novel over the […]",./scrape/jsonfiles/nJcEdYhFPd1LFv9lHdJ3aF0ENXY.json
v7JQoYz96yDkzzhsyJbXIuWdrFE=,Mr. Kneale,Adam Mills,weirdfictionreview.com,2012-08-06,Fiction,,,,https://weirdfictionreview.com/2012/08/mr-kneale/,Weird Fiction Review,"Simon Strantzas is the author of the critically-acclaimed Cold to the Touch (Tartarus Press, 2009), a collection of thirteen tales of the strange and supernatural. His first collection, Beneath the Surface (Humdrumming, 2008), has been called “one of the most important debut short story collections in the genre.” Strantzas’s stories have appeared in The Mammoth Book […]",./scrape/jsonfiles/M36+iXMWwm6+6rxjWKbgjvLNDEw.json
08mXuY/Q4PNL4hRFH6slRKVINII=,The Lost Machine: Chapter Eleven,David Davis,weirdfictionreview.com,2016-02-24,Fiction;The Lost Machine,,,,https://weirdfictionreview.com/2016/02/the-lost-machine-chapter-eleven/,Weird Fiction Review,"WFR is proud to serialize The Lost Machine in support of its author and illustrator, Richard A. Kirk. We will be reprinting the entire novel with its illustrations over the course of five weeks with a new chapter every Monday and Wednesday. Wherever possible, formatting has been made to match that available in the e‑book. This part of […]",./scrape/jsonfiles/xyVqC3o1yYuYQrFhVD67NvFt4nc.json
CLOFfkWYHAYftOSNehZmy1acozo=,Bluebeard Possibilities,Adam Mills,weirdfictionreview.com,2012-07-24,Fiction,,,,https://weirdfictionreview.com/2012/07/bluebeard-possibilities/,Weird Fiction Review,"Sofía Rhei is an author and literary translator. She has published two YA novels, Flores de sombra (Alfaguara) and its sequel Savia negra; five books of poetry: Alicia volátil (El Cangrejo Pistolero), Las flores del alcohol (La Bella Varsovia), Versiones (Ediciones del primor), Química (El Gaviero), and Las ciudades reversibles (Colegio de Arquitectos de Ciudad […]",./scrape/jsonfiles/aPDm2xiwsTVzhuVRDKfmbuBXyGg.json
T8ktNheOxxphFqQoUBLin9hF0aI=,"Dead Fall Hotel: ""The King of the Cats,"" Part 1",Jeffvandermeer,weirdfictionreview.com,2011-12-01,Fiction,,,,https://weirdfictionreview.com/2011/12/dead-fall-hotel-the-king-of-the-cats-part-1/,Weird Fiction Review,"Steve Rasnic Tem’s Deadfall Hotel has been keenly anticipated by weird fiction geeks for more than two decades, ever since horror icon Charles L. Grant published the story “Bloodwolf” in his anthology Shadows 9 (1986). Tem, a winner of the World Fantasy Award and British Fantasy Award, noted that the story was the seed for a much […]",./scrape/jsonfiles/om8ed8eZy8whGwE4N7Y64uG37+0.json
h7PfiqkR32Y5yFyMTJ2vIcNOX4A=,The Magician's Apprentice,Jeffvandermeer,weirdfictionreview.com,2012-07-03,Fiction,,,,https://weirdfictionreview.com/2012/07/the-magicians-apprentice-by-tamsyn-muir/,Weird Fiction Review,"Tamsyn Muir is based in Wellington, New Zealand, where she divides her time between writing, teaching and dogs. A graduate of the Clarion Writers’ Workshop 2010, her work has previously appeared in Fantasy Magazine and Weird Tales. She also has a story forthcoming in Nightmare magazine. The disturbing “The Magician’s Apprentice” was first published in Weird Tales #359. — The […]",./scrape/jsonfiles/japLakoY2UGYzrk83-cfDFR71mg.json
lHr6iVaTxNUE/MtvUGFyo1fbtCE=,Replacements,Jeffvandermeer,weirdfictionreview.com,2012-05-21,Fiction,,,,https://weirdfictionreview.com/2012/05/replacements-by-lisa-tuttle/,Weird Fiction Review,"Lisa Tuttle (1952 — ) is an American writer of fantastical fiction who lives in Scotland. An early member of the Turkey City Writer’s Workshop, she won the 1974 John W. Campbell Award for Best New Writer in Science Fiction. Her first novel came out in 1980 and was co-written with George R. R. Martin. Since then, […]",./scrape/jsonfiles/I7fFeWu4Sm14zc2db4tr15hZDe0.json
zsLQ7IVMQj5nH5dYrr9LPfogR7w=,"""Cicisbeo"" by M. John Harrison",David Davis,weirdfictionreview.com,2018-03-21,Fiction,fiction;short story;weird fiction,,,https://weirdfictionreview.com/2018/03/cicisbeo/,Weird Fiction Review,"“Cicisbeo” appears in M. John Harrison’s 2017 collection You Should Come With Me Now, published by Comma Press. We’re also featuring a review of the collection by Christopher Burke. Summer was half over before it had even begun. With a sense that my life was in the same state, I phoned Lizzie Shaw. She hadn’t changed. They lived in East […]",./scrape/jsonfiles/4DL11CT7g7EKmLNefcAMbTeLgDI.json
OYyVvhr90U2JPlscfHhEYPWXoEA=,The Real Face,Adam Mills,weirdfictionreview.com,2012-09-17,Fiction,,,,https://weirdfictionreview.com/2012/09/the-real-face/,Weird Fiction Review,"The Turin-born Guido Gozzano was the first and finest representative of the Crepuscolari, the poets of the Twilight. Before his tragically early death from consumption at the age of thirty-five he produced two short volumes of verse, La via del rifugio and I colloqui, the latter rendered into English as The Colloquies, which quickly became renowned […]",./scrape/jsonfiles/WTJkqg-eFSLmt5P9nSXE3B0MpkI.json
rRmMlzXz2T8wzk/IzmKYcLy8j+M=,Selected Poetry of Eric Basso,Adam Mills,weirdfictionreview.com,2012-03-07,Fiction,,,,https://weirdfictionreview.com/2012/03/selected-poetry-of-eric-basso/,Weird Fiction Review,"As part of Eric Basso Week here at Weirdfictionreview.com, we wanted to provide readers with a selection of his poems. Six different poetry collections are represented here, with the exception of his most recent collection, Umbra. This is but a small representation of his poetic output, and we encourage readers to seek out more of his poetry. […]",./scrape/jsonfiles/0bDlr4D613TiGCA7wt5PB59ya2I.json
RDv5NtoV12aGHBbjbKUFdnjJnEg=,The Eunuchs,Edward Gauvin,weirdfictionreview.com,2014-06-17,Fiction,fiction;horror;short stories;translations,,,https://weirdfictionreview.com/2014/06/the-eunuchs/,Weird Fiction Review,"To Maurice Spronck Spadones! They were crouching on slabs of rock, with knees held together, and rubbing the toes of their slippers with silver handled canes. Their saffron colored robes spread out around them, and an odor of cinnamon wafted from their skin. They reclined like this, sweating among the sauna boys, men dressed […]",./scrape/jsonfiles/yDq+aqANd7o3KIR1yjXOl0ZpvCs.json
B15RG9NYBvdX4aE1/+q4e7lOyXY=,The Ghoul,Edward Gauvin,weirdfictionreview.com,2014-06-04,Fiction,Edward Gauvin;Grotesque;horror;short stories;supernatural fiction;the weird;translations;weird fiction,,,https://weirdfictionreview.com/2014/06/the-ghoul/,Weird Fiction Review,"Belgian fabulist Jean Muno was earlier profiled in these pages. We are pleased to present “The Ghoul,” a phantasmagorical tale from his first collection, Histoires singulières. He stops. Turns around. A man of middle age, graying, in a hunting vest and fishing boots. Watchful, no doubt worried. He’s alone, and sees no one. No one behind him. […]",./scrape/jsonfiles/Hh9gZWjO7MyYDja8bCaaEhULz28.json
7xHm0BRem+fULXOdP4S2vjPJ660=,The Divinity Student: Part Eight,Adam Mills,weirdfictionreview.com,2013-10-07,Fiction;The Divinity Student,,,,https://weirdfictionreview.com/2013/10/the-divinity-student-part-eight/,Weird Fiction Review,"The following is an excerpt from Michael Cisco’s novel The Divinity Student, currently available in e‑book form from Cheeky Frawg Books, in addition to several other of his novels. WFR is proud to serialize The Divinity Student in support of the author and his books, and we will be reprinting the entire novel over the […]",./scrape/jsonfiles/Rpng18EzDpnERHzZA287w8R6QuM.json
h7PfiqkR32Y5yFyMTJ2vIcNOX4A=,The Magician's Apprentice,Jeffvandermeer,weirdfictionreview.com,2012-07-03,Fiction,,,,https://weirdfictionreview.com/2012/07/the-magicians-apprentice-by-tamsyn-muir/,Weird Fiction Review,"Tamsyn Muir is based in Wellington, New Zealand, where she divides her time between writing, teaching and dogs. A graduate of the Clarion Writers’ Workshop 2010, her work has previously appeared in Fantasy Magazine and Weird Tales. She also has a story forthcoming in Nightmare magazine. The disturbing “The Magician’s Apprentice” was first published in Weird Tales #359. — The […]",./scrape/jsonfiles/7-o-DZWMEmSnwDv1dauWX8x9DVM.json
zjWplg/T+7agbOdwB6aqNoBKYgM=,A Country Doctor,Adam Mills,weirdfictionreview.com,2013-01-29,Fiction,,,,https://weirdfictionreview.com/2013/01/a-country-doctor/,Weird Fiction Review,"Franz Kafka (1883 — 1924) was an iconic early twentieth-century writer of German-Jewish descent who lived in Prague (then part of Bohemia). Kafka’s nightmarish, disturbing work— the novels The Trial (1925), The Castle (1926) and Amerika (1927), as well as short stories like “The Metamorphosis” (1915) and the story reprinted in The Weird, “In the Penal Colony” […]",./scrape/jsonfiles/CzpjRpa75owbh46+T92j-uSz99U.json
