fingerprint,title,author,date,series,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
NvUXEzpz0eS2iCKr5et52R33r4M=,Montmartre a trois,Wesley Allsbrook,2009-02-20,,,Comics;Creepy;Fantasy;Love Story;Tor Com Comic;Wesley Allsbrook,19031,,,https://www.tor.com/2009/02/20/montmartre/,tor.com,Tor.com,"Just in case your Valentine’s Day was too sickly sweet, here’s a creepy…I mean, romantic…I mean, creepy comic to help you recover.",./scrape/jsonfiles/1YgI3Ob0BDbPHnND+s-cVtFQAq8.json,TRUE
e2d38Ca7z/USxzkGaUN16drnTTk=,"Eros, Philia, Agape",Rachel Swirsky,2009-03-03,,Hard Science Fiction;Science Fiction,A I;Hard Science Fiction;Original Fiction;Rachel Swirsky;Robots;Romance;Sam Weber;Science Fiction;Short Fiction;Tor Com Original,18638,,,https://www.tor.com/2009/03/03/eros-philia-agape/,tor.com,Tor.com,"A contemporary tale of love in all its forms and of one robot’s quest to know it, and himself, on his own terms.",./scrape/jsonfiles/Z3c9V5aP8Yov42yJTaXwOdgXlII.json,TRUE
UDja31lvXy2Py/L1F1O8wgkX0pA=,One Page Wonders,Idiots Books,2009-03-09,,,Comics;Do It Yourself;Humor;Idiotsbooks;Tor Com Comic,19630,,,https://www.tor.com/2009/03/09/one-page-wonders/,tor.com,Tor.com,Here’s a list of the One Page Wonders we’ve published on Tor.com: #1: Captain A-OK Fights Blug-Glub-Glub #2: Revenge of the Moonmen #3: Unit 31B Incinerates Jon #4: The Time Machine,./scrape/jsonfiles/p-2JRT1xBDnoYak9OxsVmqVnV9s.json,TRUE
D9meEfOz65f55Kq291C93LdeYxQ=,We Haven’t Got There Yet,Harry Turtledove,2009-03-19,,Science Fiction;Time Travel,Alternate History;Edited By Patrick Nielsen Hayden;Harry Turtledove;Jillian Tamaki;Original Fiction;Science Fiction;Shakespeare;Short Fiction;Theatre;Time Travel;Tom Stoppard;Tor Com Original,19902,,,https://www.tor.com/2009/03/19/we-havent-got-there-yet/,tor.com,Tor.com,"We Haven’t Got There Yet, an original story by Harry Turtledove",./scrape/jsonfiles/zXK+107jPnjdP-a+agFObFwaB98.json,TRUE
ruIeeU+2YT20dRn4ElUHnSNJlLc=,Bugs in the Arroyo,Steven Gould,2009-04-17,,Dystopian;Science Fiction,7Th Sigma;Dystopian Fiction;Edited By Patrick Nielsen Hayden;Mark Zug;Near Future Science Fiction;Original Fiction;Science Fiction;Short Fiction;Steven Gould;Tor Com Original,20710,,,https://www.tor.com/2009/04/17/bugs-in-the-arroyo/,tor.com,Tor.com,"The bugs eat metal and leave people and animals alone — unless you crush one, and then they’ll swarm and destroy everything they touch. When Kimball comes upon twelve-year-old Thayet, s…",./scrape/jsonfiles/n6Kc4EbyrxjO+8amg2eqhBZ7FpU.json,TRUE
8xaHH9VSmXJzewAiOI3at2eEBsA=,TVA Baby,Terry Bisson,2009-04-28,,Contemporary Fantasy;Fantasy,Contemporary Fantasy;Edited By Patrick Nielsen Hayden;Fantasy;Original Fiction;Rick Berry;Serial Killers;Short Fiction;Surrealism;Terry Bisson;Tor Com Original,20928,,,https://www.tor.com/2009/04/28/tva-baby/,tor.com,Tor.com,"How many guys carry a parasail in their carry-on? And how many guys carry a key for every kind of car in their carry-on? Just one, and he’s a TVA baby, and he sure knows a lake from a river.",./scrape/jsonfiles/31C3oD2h48TED7VOUFPomyZGGok.json,TRUE
xBIEawALp/9v08EfuadVmYIE7mU=,Last Son of Tomorrow,Greg van Eekhout,2009-05-05,,Science Fiction,Comics;Greg Van Eekhout;Original Fiction;Ross Macdonald;Science Fiction;Short Fiction;Superheroes;Tor Com Original,21148,,,https://www.tor.com/2009/05/05/last-son-of-tomorrow/,tor.com,Tor.com,"What is there to do, when you have the power to do anything? John can fly, he can see through solid objects, he can take over the world and give it back again, but what he’s looking for is so…",./scrape/jsonfiles/jO-bdCs-LrlppG7VCTSz7E5X5To.json,TRUE
t3uxc4nFoCleCo76fznzuDBswxs=,The Zen of Professor Nimbus,Michael Sloan,2009-05-06,,,Comics;Humor;Michael Sloan;Science;Science Fiction;Tor Com Comic;Zen,21275,,,https://www.tor.com/2009/05/06/the-zen-of-prof-nimbus-index-page/,tor.com,Tor.com,Tor.com is proud to present Michael Sloan’s “The Zen of Professor Nimbus” strips. But this is hardly the good Professor’s first foray onto the paneled page: The Temptation o…,./scrape/jsonfiles/be+K-nPDBQ1qWnAK1tsGLiZvB0E.json,TRUE
PDkKs6P5xNfXeew8dkL6Fb4W5jc=,Black Strings,Ray Fawkes,2009-05-06,,,Original Fiction;Ray Fawkes;Tor Com Original,21257,,,https://www.tor.com/2009/05/06/blackstrings/,tor.com,Tor.com,"A tale of despair and elevation, music and warfare, from the Canadian cartoonist and fine artist, Ray Fawkes.",./scrape/jsonfiles/Uj8IHtBK7ZTNMH2DNBAquJy0PP8.json,TRUE
KdKAdNtf1lW1qF4jKa2M/vZ9NUU=,Star Drek,Adam McCauley,2009-05-15,,,Adam Mccauley;Com Comic;Comics;Humor;Star Trek;Tor Books,21521,,,https://www.tor.com/2009/05/15/star-drek/,tor.com,Tor.com,,./scrape/jsonfiles/+BitRuvrFO55WKNaKIAlL+Ye+hM.json,TRUE
N6Rjz+Y+6XYPuE5+r+DeCzQL5fY=,The Dreaded Question,Kurt Huggins; Zelda Devon,2009-06-04,,,Comics;Contemporary Fantasy;Fantasy;Kurt Huggins And Zelda Devon;Tor Com Comic;Writing,21906,,,https://www.tor.com/2009/06/04/the-dreaded-question/,tor.com,Tor.com,,./scrape/jsonfiles/08AfzcdN393m-tPCG+zfU30ylN0.json,TRUE
L/hNIU6SKJCikjj8Qt1yKjWp4qw=,The City Quiet as Death,Steven Utley; Michael Bishop,2009-06-09,,Fantasy;Lovecraftian,Edited By Patrick Nielsen Hayden;Fantasy;Jon Foster;Lovecraftian;Michael Bishop And Steven Utley;Original Fiction;Short Fiction;Tor Com Original,21759,,,https://www.tor.com/2009/06/09/the-city-quiet-as-death/,tor.com,Tor.com,"Between the incessant music of the stars and the spectre of a giant squid caught inside a locket ball, it is difficult for Don Horacio to maintain a restful mind.",./scrape/jsonfiles/OF6bquZ3+6Ap-6jtt9Afv3WbYrA.json,TRUE
JssedPEL7ZkqNBYzrdzjwf7UoMQ=,"Happy Birthday, Michael Mitchell",Joanna Estep,2009-06-17,,,Comics;Joanna Estep;Tor Com Comic,21927,,,https://www.tor.com/2009/06/17/hbmm/,tor.com,Tor.com,The hour is nearly at hand…,./scrape/jsonfiles/RcTRbYUU75S+FpIqV0xFhQccREA.json,TRUE
o+6eAn4Ox/4uMLuhCF7W42QGoOo=,The House That George Built,Harry Turtledove,2009-06-23,,Alternate History;Science Fiction,Alternate History;Baseball;Edited By Patrick Nielsen Hayden;H L Mencken;Harry Turtledove;James Bennett;Original Fiction;Science Fiction;Short Fiction;Tor Com Original,22389,,,https://www.tor.com/2009/06/23/the-house-that-george-built/,tor.com,Tor.com,"One February morning, H.L. Mencken walked into a Baltimore restaurant to have a bite and talk baseball with the owner, a has-been player named George…",./scrape/jsonfiles/wHv6qZvHEMajX7VGj2LolIQ98dA.json,TRUE
Pt99LlNGK8sGUcRLNxjuYJz8vZg=,Lord of the Ringlings,Adam McCauley,2009-06-30,,,Adam Mccauley;Humor;Original Fiction;The Lord Of The Rings;Tor Com Original,22559,,,https://www.tor.com/2009/06/30/lord-of-the-ringlings/,tor.com,Tor.com,The greatest show on Middle-earth!,./scrape/jsonfiles/yq2NAAc3xWHwF9riQ7A37XK8G4U.json,TRUE
2YVGJs+usoiAxdwbzzBG7HM8K1w=,The Cat Who Walked a Thousand Miles,Kij Johnson,2009-07-14,,Fantasy,Cats;Edited By Patrick Nielsen Hayden;Fantasy;Goni Montes;Japan;Japanese Folklore;Kij Johnson;Original Fiction;Short Fiction;Tor Com Original,22679,,,https://www.tor.com/2009/07/14/the-cat-who-walked-a-thousand-miles/,tor.com,Tor.com,"When a fire destroys her home and scatters her colony, Small Cat sets out to find the home of her ancestor, the Cat From the North, and to make her own name along the way.",./scrape/jsonfiles/6PO0Zi+sKd6ytWHF1f7HpOUivtQ.json,TRUE
VGQskIrItHxfyC5tZebVdJyRr4A=,2009: A Birthday Odyssey,Gregory Manchess,2009-07-20,Moon Landing Day,,2001 A Space Odyssey;Birthdays;Comics;Dawn Of Man;Gregory Manchess;Humor;Original Fiction;Stanley Kubrick;Stubby;Tor Com;Tor Com Original,23237,,,https://www.tor.com/2009/07/20/2009-a-birthday-odyssey/,tor.com,Tor.com,,./scrape/jsonfiles/vk9S2cvFNNLPwEzNaky5-jk9lgg.json,TRUE
rxbR0qRZqvkThI7KEsibDe3FNP4=,San Diego Zombie Con,Sean Bieri,2009-07-23,San Diego Zombie Con,,Comics;Humor;San Diego Comic Con;Sdcc;Sean Bieri;Tor Com Comic;Zombies,23331,,,https://www.tor.com/2009/07/23/zombiecon/,tor.com,Tor.com,"The inimitable zombie conjurer Sean Bieri is back with a series of cartoons depicting life at this week’s top destination for undead geeks, the San Diego Zombie Con. Check back each day of th…",./scrape/jsonfiles/Bj3IIEL2QASt-+BkC7im+mXPn-g.json,TRUE
4humZvLJQoTW59II/e0yM3d2eYw=,The Nostalgist,Daniel H Wilson,2009-07-28,,Science Fiction,Childhood;Daniel H Wilson;Edited By Liz Gorinsky;Original Fiction;Robots;Sam Weber;Science Fiction;Short Fiction;Tor Com Original,23309,,,https://www.tor.com/2009/07/28/nostalgist/,tor.com,Tor.com,"With EyesTM and EarsTM, everything can look and sound just fine, just like it used to be; it’s a shock when they break down, though.",./scrape/jsonfiles/EZdQkxcTCpdpEFhEouYvmSTn9Nw.json,TRUE
q9UWyqe6cusFqaYIdUQifYKAq8o=,The Ruined Queen of Harvest World,Damien Broderick,2009-08-18,,Fantasy;Science Fiction,Cordwainer Smith;Damien Broderick;Edited By Patrick Nielsen Hayden;Fantasy;Kekai Kotaki;Original Fiction;Science Fiction;Short Fiction;Tor Com Original,23624,,,https://www.tor.com/2009/08/18/the-ruined-queen/,tor.com,Tor.com,"A story for everyone who ever loved the work of the late, great SF writer Cordwainer Smith.",./scrape/jsonfiles/B6VaOL9pwp4E2-P26TaYaLt-ffg.json,TRUE
3/038kgGeQhlFmLaFsmDEuXaZ4k=,First Flight,Mary Robinette Kowal,2009-08-25,,Science Fiction;Time Travel,Mary Robinette Kowal;Original Fiction;Pascal Milelli;Science Fiction;Short Fiction;Time Travel;Tor Com Original;Wright Brothers,23856,,,https://www.tor.com/2009/08/25/first-flight/,tor.com,Tor.com,"“Eleanor Louise Jackson stood inside the plain steel box of the time machine. It was about the size of an outhouse, but without a bench or windows.” A short story by Mary Robinette Kowa…",./scrape/jsonfiles/0GxGYijzDwzTkPjqg2NEcuYM6r0.json,TRUE
EaFUf4y3I702L/trqGS8YFTFTYg=,Silver Linings,Tim Pratt,2009-09-15,,Science Fiction;Steampunk,Airships;Edited By Patrick Nielsen Hayden;Original Fiction;Science Fiction;Short Fiction;Steampunk;Thom Tenery;Tim Pratt;Tor Com Original,24371,,,https://www.tor.com/2009/09/15/silver-linings/,tor.com,Tor.com,"Even ordinarily, cloudmining can be dangerous — those silver linings are heavy and potentially lethal — but it’s nothing compared to being a cloudminer on the run.",./scrape/jsonfiles/DuTUEJWYnMimgnx6-NPSbDAA1Vk.json,TRUE
OOUdZLNV5ZZIIjdDYmgl1tannr0=,Zeppelin City,Michael Swanwick; Eileen Gunn,2009-10-06,Original Fiction And Wallpaper,Science Fiction;Steampunk,Airships;Benjamin Carre;Edited By Patrick Nielsen Hayden;Eileen Gunn And Michael Swanwick;Original Fiction;Science Fiction;Short Fiction;Steampunk;Tor Com Original,25227,,,https://www.tor.com/2009/10/06/zeppelin-city/,tor.com,Tor.com,Will Radio Jones’s invention save the day? Can Amelia Spindizzy outfly all competition and outsmart the brains in jars?,./scrape/jsonfiles/h3eHgdnbbRBsYwK0t9CvK45Ekd0.json,TRUE
NzMZxWblQNa2pgy19L7Gc9br2sA=,The Strange Case of Mr. Salad Monday,GD Falksen,2009-10-20,Original Fiction And Wallpaper,Science Fiction;Steampunk,Alternate History;David Malki;Edited By Liz Gorinsky;G D Falksen;Original Fiction;Science Fiction;Short Fiction;Steampunk;Tor Com Original,25886,,,https://www.tor.com/2009/10/20/mr-salad-monday/,tor.com,Tor.com,"Inspector Wilde is a rabid fan of tit-tat, the broadsheet arguments that get printed several times a day; the Chief Inspector thinks he’s an idiot, but Wilde’s strange reading habits ma…",./scrape/jsonfiles/993Zp+RZY21Zi1zDeX+AISuq7w0.json,TRUE
h04mbwq/55ZghfUGGzUdZusWR/s=,A Memory of Wind,Rachel Swirsky,2009-11-03,,Fairy Tales And Folklore;Fantasy,Classical;Fantasy;Greek Mythology;Mythology;Original Fiction;Rachel Swirsky;Sam Weber;Short Fiction;Tor Com Original,26508,,,https://www.tor.com/2009/11/03/a-memory-of-wind/,tor.com,Tor.com,"The heroes are eager to sail to Troy for war, but the wind is still. To fill their sails and set out, they must sacrifice Agamemnon’s daughter Iphigenia — and how does a human girl beco…",./scrape/jsonfiles/WjvNf3x9yKTWAhm1XyRSSFJ2a-0.json,TRUE
jRX9A+dVw1engb7SV1dO30yjaoE=,My Grandmother’s House,Cassandra Diaz,2009-11-10,,,Cassandra Diaz;Comics;Contemporary Fantasy;Fantasy;Tor Com Comic,26763,,,https://www.tor.com/2009/11/10/my-grandmothers-house/,tor.com,Tor.com,,./scrape/jsonfiles/Y-Itsotmefa+Gwh7WNkxKDriWlI.json,TRUE
i65vmb1SDxiUFEtpOsItqcgXvOI=,The Star and the Rockets,Harry Turtledove,2009-11-17,,Science Fiction,Aliens;Baseball;Chris Buzelli;Edited By Patrick Nielsen Hayden;Harry Turtledove;Original Fiction;Science Fiction;Short Fiction;Tor Com Original,24624,,,https://www.tor.com/2009/11/17/the-star-and-the-rockets/,tor.com,Tor.com,"True story: in 1954, Joe Baumann hit 72 home runs for the Roswell Rockets, the most exciting thing to happen to Roswell since the alien landing. Not to imply a causal relationship. Well, maybe a li…",./scrape/jsonfiles/fBpMU8pGOMOl4m35eSXlq9VlJmQ.json,TRUE
S72/l1S4inVgPMPPO2sp5eEGpnw=,I Speak Fluent Giraffe,Jason Henninger,2009-12-04,,Humor,Brian Elig;Humor;I Speak Fluent Giraffe;Jason Henninger;Original Fiction;Poetry;Short Fiction;Tor Com Original,27624,,,https://www.tor.com/2009/12/04/i-speak-fluent-giraffe/,tor.com,Tor.com,Index page for Jason Henninger’s I Speak Fluent Giraffe,./scrape/jsonfiles/7UyBpdxOePmLCLjzVUmUDcU1bPQ.json,TRUE
d0LjWvk8vgmGvhm1LXnnV6DEltQ=,The Horrid Glory of Its Wings,Elizabeth Bear,2009-12-08,,Fantasy;Urban Fantasy,Childhood;Edited By Patrick Nielsen Hayden;Elizabeth Bear;Fantasy;Greek Mythology;John Jude Palenca;Mythology;Original Fiction;Present Day Fantasy;Short Fiction;Tor Com Original;Urban Fantasy,27698,,,https://www.tor.com/2009/12/08/the-horrid-glory-of-its-wings/,tor.com,Tor.com,"There’s a harpy with bronze wings living in the dumpster behind Desiree’s building. She’s ugly and she eats garbage, but she has a little kingdom back there. Desiree wants somethi…",./scrape/jsonfiles/+udQfmHtanWKVcwE2cI4xr+NmP8.json,TRUE
GIy7fR9TKGfeN5Pf6R0z2gsmNtM=,The Tempest Wakens,Kurt Huggins; Zelda Devon,2009-12-16,Original Fiction,,Comics;Cthulhu;Fantasy;H P Lovecraft;Kurt Huggins And Zelda Devon;Lovecraftian;Tor Com Comic,28011,,,https://www.tor.com/2009/12/16/the-tempest-wakens/,tor.com,Tor.com,"A harrowing, perfect storm.",./scrape/jsonfiles/9D5X2i97hOrylIzTBGB2JjpnjEM.json,TRUE
8/6TkjDPU+/t/gm3F0gBqNQ/WlI=,Overtime,Charles Stross,2009-12-22,Original Fiction,Fantasy;Lovecraftian,Carl Wiens;Charles Stross;Christmas;Fantasy;Laundry Files;Lovecraftian;Original Fiction;Short Fiction;Tor Com Original,28073,,,https://www.tor.com/2009/12/22/overtime/,tor.com,Tor.com,Overtime by Charles Stross,./scrape/jsonfiles/GEnQdgVCV9C88i0oBp3re06F9tU.json,TRUE
