fingerprint,title,author,editor,date,categories,excerpt,hostname,source,source-hostname
nB9nB/GXuLFUiIrf7KsdC0VJfZI=,Infinite Possibilities IV – Michael Gardner,Michael Gardner,B Morris Allen Editor; Publisher,2022-12-30,Podcast;Science fiction;Story,"As Taylor inserts her key into the padlock, Adrian glances back over the canola toward the housing estate, and Taylor’s car parked on the verge of the empty road.",metaphorosis.com,https://magazine.metaphorosis.com/story/2022/infinite-possibilities-iv-michael-gardner/,Metaphorosis
1XhF1Ix2qlIUQq9O6b9LnwYaIcI=,An Hour in the City of Lightning – A.D. Guzman,A.D. Guzman,B Morris Allen Editor; Publisher,2022-11-18,Podcast;Science fiction;Story,The match flared orange and momentarily suffused crisp December air with an oddly soothing aroma of sulfur and smoke.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/an-hour-in-the-city-of-lightning-a-d-guzman/,Metaphorosis
VQYGuZIZ33BMvwYpmZvEBwxFv+o=,The Spinster and the Sea – J.C. Pillard,J.C. Pillard,B Morris Allen Editor; Publisher,2022-04-22,Fantasy;Podcast;Story,Samson always felt out of place in the crowded common room of the Last Drink.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/the-spinster-and-the-sea-j-c-pillard/,Metaphorosis
JWHI5jmz3s0klkiKDpAdxWp+6S0=,Shine – Amelia Aldred,Amelia Aldred,B Morris Allen Editor; Publisher,2016-10-14,Fantasy;Story,"Joanne balanced a third jar of pickles on her arm as she peered into another of Grammy’s cupboards. Once again, she saw endless rows of canned goods but not a drop of liquor or a recipe card. “Damn…",metaphorosis.com,https://magazine.metaphorosis.com/story/2016/shine-amelia-aldred/,Metaphorosis
kAWE87KKfqKjPB25jxt9/TQoOf0=,Sonata I: Sona – L. Chan,L. Chan,B Morris Allen Editor; Publisher,2020-01-31,Fantasy;Podcast;Serial;Story,"Andante: Sona Siege drums struck the town just before daybreak – whaleskin stretched over hollowed out tree trunks, varnished and polished until the drum bodies were darker than a moonless night. W…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/sonata-i-sona-l-chan/,Metaphorosis
uSNxmpU2nfOzTo7HvbyCdIVZUXg=,Tides – Ailsa Bristow,Ailsa Bristow,B Morris Allen Editor; Publisher,2021-12-31,Fantasy;Podcast;Story,"The woman stood at the edge of a cliff, suspended halfway between sky and sea.",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/tides-ailsa-bristow/,Metaphorosis
1qvaKrOrAMQM6aGUQx28/vj9Xm4=,Her Spirit Animal – L.A.W. Butler,L.A.W. Butler,B Morris Allen Editor; Publisher,2022-06-17,Fantasy;Podcast;Story,Atynleigh leaned into the wind as she pulled her wool shawl closer around her face.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/her-spirit-animal-l-a-w-butler/,Metaphorosis
xf6r4E59rMguqxArW/xv0NpK3r8=,Tower of Mud and Straw I – Yaroslav Barsukov,Yaroslav Barsukov,B Morris Allen Editor; Publisher,2020-09-25,Fantasy;Podcast;Serial;Story,Shea Ashcroft stepped from a carriage into the low-lit cul-de-sac as a mongrel lifted its door knocker of a head from a garbage pile.,metaphorosis.com,https://magazine.metaphorosis.com/story/2020/tower-of-mud-and-straw-i-yaroslav-barsukov/,Metaphorosis
NXeGk6rgcXNXkgMHjJqhVSqcRG0=,The Number of the Tribe – Gerald Warfield,Gerald Warfield,B Morris Allen Editor; Publisher,2017-11-10,Science fiction;Story,"Gurn levered himself up from his bed of furs, hoping he hadn’t cried out. A few embers glowed in the fire pit, casting warm light on the roof of skins. Around him, he heard only gentle breathing an…",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/the-number-of-the-tribe-gerald-warfield/,Metaphorosis
CWjAN66L/Yx7sgT43+l8/SL61rI=,A Compilation of Accounts Concerning the Distal Brook Flood – Thomas Ha,Thomas Ha,B Morris Allen Editor; Publisher,2021-04-30,Podcast;Science fiction;Story,"The following consists of testimony from the publicly available exhibits filed in Granger, et al. v. Juna Explorations, LLC.",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/a-compilation-of-accounts-concerning-the-distal-brook-flood-thomas-ha/,Metaphorosis
quKlHkn0eTcx+vTX1qTlmXMr6SI=,Till All the Hundred Summers Pass – J.A. Legg,J.A. Legg,B Morris Allen Editor; Publisher,2021-09-10,Podcast;Science fiction;Story,"“Spindle, this is Sky Castle; come in, Spindle.”",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/till-all-the-hundred-summers-pass-j-a-legg/,Metaphorosis
kVN42hTC2JbYTuWSuRbWV0chsrs=,The Cypress and the Rose – Sandi Leibowitz,Sandi Leibowitz,B Morris Allen Editor; Publisher,2018-04-20,Fantasy;Story,"On her sixteenth birthday, a girl approached her mother, a priestess gifted in prophecy, to learn her name and her fate. The trees of that island country spoke with the people, the priestesses most…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/the-cypress-and-the-rose-sandi-leibowitz/,Metaphorosis
hJ2dJkNVQgEfYqHCGgfdk0BWPaI=,If Gold Runs Red – Gordon Grice,Gordon Grice,B Morris Allen Editor; Publisher,2022-11-04,Fantasy;Podcast;Story,"“Thirteen’s too old to be scared of a rock,” Clay’s dad smirked, even though Clay hadn’t said he was scared.",metaphorosis.com,https://magazine.metaphorosis.com/story/2022/if-gold-runs-red-gordon-grice/,Metaphorosis
wVN5D9WnTMK8tjzdubr4Rl9EwWc=,A Seedling in the Dark – Eleanor R. Wood,Eleanor R. Wood,B Morris Allen Editor; Publisher,2021-09-17,Podcast;Science fiction;Story,He pined for the sky first.,metaphorosis.com,https://magazine.metaphorosis.com/story/2021/a-seedling-in-the-dark-eleanor-r-wood/,Metaphorosis
MPH3YqsaevmxsvQcBH0i09WjEyQ=,The Art of Unpicking Stitches – Jennifer Hudak,Jennifer Hudak,B Morris Allen Editor; Publisher,2021-07-23,Fantasy;Podcast;Story,"Technically, all I’d done was come up with the idea for doing a spell; Kimber and Cassie took care of the rest.",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/the-art-of-unpicking-stitches-jennifer-hudak/,Metaphorosis
28bAhgnHMWJd9CHWe8+OI1RmSuY=,The Last Duty – Dawn Lloyd,Dawn Lloyd,B Morris Allen Editor; Publisher,2019-08-16,Fantasy;Story,"The fireworks rocketed past the jagged remnants of the palace’s roof, soared above the razor wire, and then cascaded down behind the wall. The gunpowder boomed. The first four nights, my eyes had j…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/the-last-duty-dawn-lloyd/,Metaphorosis
TKKVd1SJ4ZxL5Ka6YEFCskcxb5g=,Strix Antiqua – Hamilton Perez,Hamilton Perez,B Morris Allen Editor; Publisher,2016-09-16,Fantasy;Story,"I didn’t want to go back into those woods. I didn’t trust them, and I suppose they didn’t trust me either. But deep down, I knew—I had to go. You can’t just stay at home, whispering to God on bende…",metaphorosis.com,https://magazine.metaphorosis.com/story/2016/strix-antiqua-hamilton-perez/,Metaphorosis
v2kLO0jpMqr/klU36bUjJskXu1k=,Pain Eater – Danny Menter,Danny Menter,B Morris Allen Editor; Publisher,2023-03-24,Fantasy;Story,"Before the summer I turned twelve, plants had seemed innocuous: sometimes pretty, mostly boring, perennial background filler.",metaphorosis.com,https://magazine.metaphorosis.com/story/2023/pain-eater-danny-menter/,Metaphorosis
iwpVj31xRWW0FVghnS1vidHHB5A=,The Friendly Ghost – Ashley R. Carlson,Ashley R. Carlson,B Morris Allen Editor; Publisher,2020-07-03,Fantasy;Podcast;Story,"A Year Before Conversations with you were never dull (it was one of the main reasons I wanted to marry you), but that night things had taken a random turn from flirty innuendos and our cat’s sudden…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/the-friendly-ghost-ashley-r-carlson/,Metaphorosis
9q6OJG6mEE/M6Rva+ospt+Lx6Yc=,The Astronaut Tier – Jonathan Laidlow,Jonathan Laidlow,B Morris Allen Editor; Publisher,2018-10-26,Science fiction;Story,"Farren opened the door to the bailiffs and let them in. They pushed into the apartment wordlessly, and began to itemise her former life, ticking boxes on clipboards while they opened drawers and ri…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/the-astronaut-tier-jonathan-laidlow/,Metaphorosis
2q/32QTPMsSpG4SuLwOodbggUcA=,The Stars Don’t Lie – R.W.W. Greene,R.W.W. Greene,B Morris Allen Editor; Publisher,2018-06-29,Fantasy;Story,"The Dean of Admissions took off his spectacles and polished them on his dappled lower shoulder. “You will be the first man to attend Chiron Classical University, you know.” “I’m a woman,” Lesa said…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/the-stars-dont-lie-r-w-w-greene/,Metaphorosis
BChgBGOpln6m7x4+6ADNOh+vsTo=,Exhibit 57-B from the Trial of Alonzo Montalvo v. MoodFoods Incorporated – Douglas DiCicco,Douglas DiCicco,B Morris Allen Editor; Publisher,2020-05-29,Podcast;Science fiction;Story,"Exhibit 57-B in the matter of Alonzo Montalvo v. MoodFoods Incorporated is brought to you by NeutralBot, today’s leading provider of AI-directed viewpoint-neutral video analysis. NeutralBot: becaus…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/exhibit-57-b-from-the-trial-of-alonzo-montalvo-v-moodfoods-incorporated-douglas-dicicco/,Metaphorosis
4mhJrVgwV+7Hphpay4ws9ViBMmU=,Not All Rot Is Ruin – E.A. Petricone,E.A. Petricone,B Morris Allen Editor; Publisher,2021-01-22,Fantasy;Podcast;Story,It started when Leda lifted her head from her pillow and a dead fly tumbled onto her pillowcase.,metaphorosis.com,https://magazine.metaphorosis.com/story/2021/not-all-rot-is-ruin-e-a-petricone/,Metaphorosis
FNtj2hb8fXAvuPHUKU1/A28/Z9M=,The Zoo Diaries I – Frances Pauli,Frances Pauli,B Morris Allen Editor; Publisher,2023-01-27,Fantasy;Podcast;Story,"The Rainriver Zoological Gardens are fully licensed and operate in accordance with the Animal Welfare Act and the Endangered Species Act, which set minimum standards for the care and keeping of ani…",metaphorosis.com,https://magazine.metaphorosis.com/story/2023/the-zoo-diaries-i-frances-pauli/,Metaphorosis
R4jtsnEb/OlFioY+psXIFug/ngo=,Lake Oreyd – Damien Krsteski,Damien Krsteski,B Morris Allen Editor; Publisher,2017-03-24,Science fiction;Story,The lake’s still surface was a golden quilt. The churches which amassed along the shore over the centuries now had their fossilized features balanced between day and night. A most sacred moment. Th…,metaphorosis.com,https://magazine.metaphorosis.com/story/2017/lake-oreyd-damien-krsteski/,Metaphorosis
SAVocjvQZiIk8O+JT4ZVMxMbMP0=,Reproduction in a Closed Loop – Andrew M LeBlanc,Andrew M LeBlanc,B Morris Allen Editor; Publisher,2018-10-05,Science fiction;Story,"The first iteration of General’s life ends with the extinction of the human race. The third, fourth, and fifth iterations fare better, but even knowledge of its past iterations is not enough for Ge…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/reproduction-in-a-closed-loop-andrew-m-leblanc/,Metaphorosis
6vyytA2itGF2KwUJsi28cZhp6eM=,A Yellow Landscape – Sarah McGill,Sarah McGill,B Morris Allen Editor; Publisher,2019-04-05,Fantasy;Story,"I dream of vast landscapes. The distance bends like cotton on a washing line or a rabbit vanishing down a hole. In my dream, women come, carrying brutally tined forks. Their hands crook around thei…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/a-yellow-landscape-sarah-mcgill/,Metaphorosis
x6LrsgYj3HPy4mITLd44NqeYrK8=,Any Old Disease – Dimitra Nikolaidou,Dimitra Nikolaidou,B Morris Allen Editor; Publisher,2018-03-09,Science fiction;Story,"“What is wrong with him?” Ada had heard that tone before, the horror of a newly assigned doctor witnessing the Leak for the first time. She waited for the novice’s breath to settle. “He is witherin…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/any-old-disease-dimitra-nikolaidou/,Metaphorosis
JoNcTDumxAxMtiEz0fDY0iQVZoU=,Halfsies – Eric Del Carlo,Eric Del Carlo,B Morris Allen Editor; Publisher,2017-02-03,Science fiction;Story,"The new word seemed somehow old-fashioned. Halfsies. Like how Tariq’s sun-shrunken, onetime surfer grandfather would say “rad” when he deemed some event or circumstance especially good. Halfsies, a…",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/halfsies-eric-del-carlo/,Metaphorosis
EtmuNPCoU8Nkt7IPz2dDZ3VqN88=,The Circe Test – Nora Mulligan,Nora Mulligan,B Morris Allen Editor; Publisher,2017-07-14,Fantasy;Story,"Circe knelt in front of the pig, holding its face so that its eyes looked into hers. “You are not really a pig,” she said to it. “You know that. Think. Remember who you are, what you are, and you w…",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/the-circe-test-nora-mulligan/,Metaphorosis
U6iEUT2RQWtow2hk4mQeep0yDzg=,The Stars are Tiny Lights on a Perfect Black Dome – Simon Kewin,Simon Kewin,B Morris Allen Editor; Publisher,2016-12-16,Science fiction;Story,"“Chancellor, it’s Zend, at the University. One of your research students. I think you should come and see something.” The voice on the other end of the line was groggy. The Chancellor didn’t bother…",metaphorosis.com,https://magazine.metaphorosis.com/story/2016/the-stars-are-tiny-lights-on-a-perfect-black-dome-simon-kewin/,Metaphorosis
A5Nkegua0p3fI70Qzqv7VKV4PIo=,Trapped in Memory – Dan Le Fever,Dan Le Fever,B Morris Allen Editor; Publisher,2023-04-14,Science fiction;Story,"“Touchdown in T-minus fifteen,” a crackling voice said over the comm channel.",metaphorosis.com,https://magazine.metaphorosis.com/story/2023/trapped-in-memory-dan-le-fever/,Metaphorosis
kBu1QSllo48KaTOHd3soZF+04oQ=,Switch – Lisa Clark,Lisa Clark,B Morris Allen Editor; Publisher,2018-03-23,Science fiction;Story,"Claudia Campbell shifted in her seat, clutching her oversized pocketbook closer to her chest. She released an audible huff. With all the automation these days, why couldn’t they move things along f…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/switch-lisa-clark/,Metaphorosis
BlJzggI89ZKIDI+WjyQb3h6AnMQ=,Rowboats: a cautionary tale of linguistics – Filip Wiltgren,Filip Wiltgren,B Morris Allen Editor; Publisher,2017-12-25,Fantasy;Story,"“Rowboats?” “Rowboats, sire.” “Perhaps the Oracle is wrong.” “The Oracle is never wrong, sire.” “Yes, but… Rowboats? She may have meant navy.” “ ‘He who has the best rowboats shall rule the land.’ …",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/rowboats-a-cautionary-tale-of-linguistics-filip-wiltgren/,Metaphorosis
PWKPetHQnFBtZd1uk2278otb5DA=,The Chorley – Rachel Ayers,Rachel Ayers,B Morris Allen Editor; Publisher,2020-07-31,Fantasy;Podcast;Story,"Little Annamarie wore a mournful expression. “Mama,” she said, “I can’t find my Chorley.” Chorley was a ragged stuffed elephant that the girl had had since she was two. “Where did you leave it?” th…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/the-chorley-rachel-ayers/,Metaphorosis
9UTF59DmDr7m6oKvNScV2BmfmE4=,Cactus and Lizard – Hannah Costelle,Hannah Costelle,B Morris Allen Editor; Publisher,2020-10-09,Fantasy;Podcast;Story,The city shimmered as though it were under an ocean instead of in a barren desert.,metaphorosis.com,https://magazine.metaphorosis.com/story/2020/cactus-and-lizard-hannah-costelle/,Metaphorosis
A3QtTgPDsdhdUb2HFsfMbI2I1XM=,Midnight’s Second Station – Chloe Smith,Chloe Smith,B Morris Allen Editor; Publisher,2022-05-27,Podcast;Science fiction;Story,"Errant had studied the reports, had marveled, had thought he’d understood as much as anyone did—but his eyes still rejected their first sight of Midnight’s trees.",metaphorosis.com,https://magazine.metaphorosis.com/story/2022/midnights-second-station-chloe-smith/,Metaphorosis
VTTgdFGrJipOxohAlNVDUN/WHcg=,… and now He erases – Rhoads Brazos,Rhoads Brazos,B Morris Allen Editor; Publisher,2016-01-15,Fantasy;Story,"He calls me the Motorcycle Man. One word? Possibly. I’ve never seen it in print. Certainly never needed to scratch it on paper. The Boy knew my proper name up until last week, when he forgot. I for…",metaphorosis.com,https://magazine.metaphorosis.com/story/2016/and-now-he-erases-rhoads-brazos/,Metaphorosis
QRglmvf/McsdP8UI29mZJ/PDclQ=,One Day in Space Too Many – Michael Sherrin,Michael Sherrin,B Morris Allen Editor; Publisher,2019-07-05,Science fiction;Story,"Day 1: Gerry woke to his chiming alarm clock, unaware his spaceship, the Rotor, had just exploded. He shuffled into the kitchen and expected his usual routine: frying eggs, watering his bonsai, and…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/one-day-in-space-too-many-michael-sherrin/,Metaphorosis
D39eCcBHq1pPbtcmQBKf50iLTCs=,The Eye of the Goddess – Samuel Parr,Samuel Parr,B Morris Allen Editor; Publisher,2022-07-01,Fantasy;Podcast;Story,The Sololfursson had said Ingolfur was too weak to reach the Goddess’s Isle.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/the-eye-of-the-goddess-samuel-parr/,Metaphorosis
+/4Rz4bnxX9osvVmLqVP/GzLyOk=,Familiar in Her Angles – E.A. Brenner,E.A. Brenner,B Morris Allen Editor; Publisher,2018-09-21,Fantasy;Story,"The trees in this part of the Dragonwood are thin and lanky, like growing boys, like her own willowy limbs, but Lina has no interest in the trees, or young men, or the body that conveys her, stompi…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/familiar-in-her-angles-e-a-brenner/,Metaphorosis
FoJhpV7A9IewocU2tRASYZwefso=,"Velaya, the Dreaming City – Beston Barnett",Beston Barnett,B Morris Allen Editor; Publisher,2018-03-16,Fantasy;Story,"Six parts after Dunsany Part 1 I set out for Velaya as a young man, having only just pledged to wed. I was to marry Belqis, flower of our village and light of my eyes, in whose father’s orchards I …",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/velaya-the-dreaming-city-beston-barnett/,Metaphorosis
U8+fuaHjvwViN2DBC2jfjHDo8hw=,Joy (Unplugged) – B.C. van Tol,B.C. van Tol,B Morris Allen Editor; Publisher,2020-08-28,Podcast;Science fiction;Story,"A reddish moon clung to the horizon like a faded blood stain that wouldn’t wash out. Joy shivered, looking at the moon’s human-like face from her attic window, wishing she could pull him to her. To…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/joy-unplugged-b-c-van-tol/,Metaphorosis
YSzeKCf4FiRwsgGg8lfGkun+xrM=,The Heebie-Jeebie Beam – E.C. Fuller,E.C. Fuller,B Morris Allen Editor; Publisher,2022-07-29,Podcast;Science fiction;Story,I thought I found a toy raygun.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/the-heebie-jeebie-beam-e-c-fuller/,Metaphorosis
/I56XvPZJluJLy2whtZwozVRLQQ=,Snowman – Han Whiteoak,Han Whiteoak,B Morris Allen Editor; Publisher,2022-12-23,Fantasy;Podcast;Story,Meltwater dripped from the snowman’s carrot nose as he boarded the train.,metaphorosis.com,https://magazine.metaphorosis.com/story/2022/snowman-han-whiteoak/,Metaphorosis
qbbShzI0FqLc3Yym/y/M2m/cySA=,Graveyard – Arlen Feldman,Arlen Feldman,B Morris Allen Editor; Publisher,2018-11-30,Science fiction;Story,"The crew had already started calling it the graveyard. If it was a graveyard, it would be hard to choose a bleaker site for it, on a planet pretty much made up of bleak sites. I walked as close as …",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/graveyard-arlen-feldman/,Metaphorosis
WOaVZZXqMJViYw79XkqeJhTnsT8=,"Two Villains, a Notebook, and a Lump of Coal – Helen French",Helen French,B Morris Allen Editor; Publisher,2019-01-18,Fantasy;Podcast;Story,"Alone in a badly-lit corridor in the still of night, Leora wondered if she’d made a terrible mistake. She’d stolen what she’d broken into Namose College to steal and yet it felt like everything was…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/two-villains-a-notebook-and-a-lump-of-coal-helen-french/,Metaphorosis
zAx8k5kIrX6ivrdEN6BAZBTsatI=,"A Bear, or a Spider, or an Elephant – Edward Ashton",Edward Ashton,B Morris Allen Editor; Publisher,2019-08-09,Science fiction;Story,"“The night sky is beautiful,” Seven says. “Deep and dark, blue-black and starless. It has a certain ineffable purity to it, don’t you think?” Mara glances up. This world is a young one, snugged tig…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/a-bear-or-a-spider-or-an-elephant-edward-ashton/,Metaphorosis
MMgk5r7h8oYGMKzUUwDXrteG3p0=,Reach for Your Ocean Heart – C.M. Fields,C.M. Fields,B Morris Allen Editor; Publisher,2021-02-26,Podcast;Science fiction;Story,"Just like her mother, Olia begins to hear the Voice when she is nineteen.",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/reach-for-your-ocean-heart-c-m-fields/,Metaphorosis
Fr+sygMmd9ny6U426B1oxSXlIx4=,The Offshore – Josh Taylor,Josh Taylor,B Morris Allen Editor; Publisher,2019-07-26,Science fiction;Story,"Jesper Torus had been standing on the same spot on the sidewalk for almost thirty minutes. The building in front of him was older but well-maintained, with marble latticework and gold-tipped iron r…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/the-offshore-josh-taylor/,Metaphorosis
O6S8ZmuzWJEXF9wwhn4dg8ZiVTU=,Shortcut to Happily Ever After – Ben Wan,Ben Wan,B Morris Allen Editor; Publisher,2023-04-07,Science fiction;Story,“Wanna grab coffee sometime?”,metaphorosis.com,https://magazine.metaphorosis.com/story/2023/shortcut-to-happily-ever-after-ben-wan/,Metaphorosis
gQaQcggJe+tXMoQooGwtEYqOkBo=,The Stranding – Maud Woolf,Maud Woolf,B Morris Allen Editor; Publisher,2021-06-18,Podcast;Science fiction;Story,"There’s a sparrow lying on the crust of the snow, beak open, one wing folded.",metaphorosis.com,https://magazine.metaphorosis.com/story/2021/the-stranding-maud-woolf/,Metaphorosis
zP5EJsr1424SZz1mDudZGPRoFUw=,Duet for Unaccompanied Cello – Chanel Earl,Chanel Earl,B Morris Allen Editor; Publisher,2016-08-05,Science fiction;Story,"My favorite place to practice the cello will always be the observatory. My friend Jamie, an astronomer, first let me in one day when the sun was up and visibility was nil. I practiced for hours und…",metaphorosis.com,https://magazine.metaphorosis.com/story/2016/duet-for-unaccompanied-cello-chanel-earl/,Metaphorosis
ghTOIEyAYPHNLH/loc/a0eA8sAo=,L’Appel du Vide – Rajiv Moté,Rajiv Moté,B Morris Allen Editor; Publisher,2019-03-22,Fantasy;Story,"On Friday morning, the ambient heaviness in his boss’s tiny office threatened to bend Isaac double, and his ears ached from the pressure in the air. The dread hadn’t started with his boss’s unexpec…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/lappel-du-vide-rajiv-mote/,Metaphorosis
p3v1Kkw6Yhd/Z7bZ5/m2WP5LRd8=,The Memory Dresser – Nicholas M. Stillman,Nicholas M. Stillman,B Morris Allen Editor; Publisher,2019-05-24,Fantasy;Podcast;Story,"Our parlor is small—tucked in a corner of Helm, folded between an empty Gassa stall and the home of a half-deaf mystic. For this reason, discretion numbers as one of our services. Not even the moon…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/the-memory-dresser-nicholas-m-stillman/,Metaphorosis
Szd4o+sAtvScAb47EV14Nk7vHEM=,Koehl’s Quality Impressions – Tim McDaniel,Tim McDaniel,B Morris Allen Editor; Publisher,2018-04-27,Science fiction;Story,"Early Wednesday morning, not much past 10:30, I wheezed my way through downtown in my old ‘31 Ford. Down to White Center, where the city sprawl collided with the suburban rents, resulting in rows o…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/koehls-quality-impressions-tim-mcdaniel/,Metaphorosis
pgmxPbcANWA+hIH1A2GA+Mpq9Ro=,Combustion – Kai Hudson,Kai Hudson,B Morris Allen Editor; Publisher,2018-09-28,Fantasy;Story,"Jaxon has just finished doodling Captain Fiero’s victory pose when the math teacher explodes. Students scream as Mrs. Richardson flails back from the chalkboard, body suddenly alight. Her arms and …",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/combustion-kai-hudson/,Metaphorosis
