fingerprint,title,author,date,categories,excerpt,source-hostname,hostname,source
IJaGLkC47Rn2sx6QiJYzmp4fNY0=,Unrooted,Amanda Rizkalla,2022-07-29,Fiction,Life is one long season of change in this sweetly surreal tale of a peripatetic tree.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/unrooted/
LUXk4EWkKA70fQZViiSjYCQAiqA=,Secret Histories of Central Park,Claire J Bateman,2022-08-19,Fiction,"In this charmingly skewed yarn, landscapes fold like origami, and a dress of empty pockets is full of possibilities.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-wolves-of-central-park/
qUk2Zlp0j8cPfbFBc5empBuS3jo=,The Subterranean Beasts of Electric Town,Craig Fishbane,2021-04-01,Fiction,Hal's search for his evasive ex-girlfriend takes an absurd and surreal turn when his neighbor Lance wakes up in an empty Tokyo rail station in the form of a miniature kaiju. Happy April Fool's Day.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-subterranean-beasts-of-electric-town/
czjdbhBpDrN9qDwx7sOL5IIHb0s=,Stillness,Janie Le,2018-12-14,Fiction,"Janie Le's unsettling tale of postmortem injustice is, in its way, a seasonal telling for this solstice time of endings and renewal.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/stillness/
B/HHbBLBahNxcKEa7b/mZGclD/c=,The Girl Beneath,Angela Teagardner,2020-11-27,Fiction,"In this eerie take on a central tale of the Arthurian mythos, the Lady of the Lake is reimagined as a surface-dwelling girl, transformed by time and strife into the jealous warden of Excalibur, the legendary sword of power.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-girl-beneath/
rqCnEjkOCSP10BN49ywCtjROaVQ=,Diary of the Last Woman on Earth,Bowie Rowan,2022-11-04,Fiction,"Caveat Lector: There is a brief reference to self-harm in this weird, sweet, paranoid, desperate, hopeful, beautifully surreal spiral of a narrative.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/diary-of-the-last-woman-on-earth/
+ydwMUcLZIvqG1tawXnLvUFj8eQ=,Memory of the Future,Tobey Hiller,2018-11-15,Fiction,"""Memory of the Future,"" Tobey Hiller's takedown of demagoguery and the cult of personality in American politics, is rich in symbolism and revels in its absurdity.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/memory-of-the-future/
U9cXptQR8R97/dborI6rFrZkY8w=,Nobody Ever Has Before,Jesse Sensibar,2020-10-16,Fiction,"In Arizona writer Jesse Sensibar's ""Nobody Ever Has Before,"" a terrible crash on a desert highway leads to an eerie but poignant encounter between the living and the dead.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/nobody-ever-has-before/
5sECYRA73Pw6PgmuVIrlkZKSUaU=,A Thousand Folds,Andy Winter,2022-12-02,Fiction,"In this feverish fugue, inspired by the real-life story of Sadako Sasaki, the fulfillment of desire intersects with the dissolution of the self.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/a-thousand-folds/
TXmf5MMhsvlybIMhchI5ijsq4Nw=,You Will Remember This,T J Acena,2022-09-09,Fiction,"Time travel is all a matter of perspective in this haunting, hypnotic tale of loss and memory.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/you-will-remember-this/
f52NQkZpiO3DdVwyEjw/bSMIo/c=,There are cities buried under this one,Gaurav Monga,2018-05-06,Fiction,"Gaurav Monga's marvelous and strange fragments have the feel of being found as a sheaf of unbound, unnumbered pages in a yellowing envelope, laying perhaps on an otherwise empty shelf at the back on an abandoned safe-deposit vault. They tell of a lost city of self, ancient excavations, and half-glimpsed memory.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/there-are-cities-buried-under-this-one/
2SE064nIFjsMl8DJxEHkGQM0aSg=,Model of the City in an Instrumentarium,Vladimir Poleganov,2021-10-22,Fiction,"This weird, wonderfully atmospheric ""dark city"" tale leavens its fantastical Old World noir with disorienting, marvelously creepy paranoia. We love it, and know you will too. Translated from the Bulgarian by Peter Bachev.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/model-of-the-city-in-an-instrumentarium/
N/JzIwLBsb+5auo39bnqmOjQ/kc=,The Underground Manifesto,Carla Myers,2019-07-11,Fiction,"Carla Myers, an award-winning author of fantastical and flash fiction, brings us this loopy, lyrical tale of verbivorous squirrels and their habit of snatching sentences out of the air and burying them for the winter.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-underground-manifesto/
jJRBopJa2dU1kXZ22odn6IDuW0U=,I Wasn't Looking,Dan Schwartz,2018-12-06,Fiction,"In Arizona writer Dan Schwartz's skewed yarn, sarcastically chatty animal spirits offer no easy answers to life's existential dilemmas.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/i-wasnt-looking/
Z4DhGESrvM6uscXG7hO2iLmi1nw=,Pussy Money,Sepideh Saremi,2022-07-08,Fiction,"Caveat lector: This bitterly satirical fantasy repeatedly refers to human anatomy and bodily functions in explicit, cynical and even despairing terms.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/pussy-money/
Myb4SDI59rI+P6lJMzFEmhcngbY=,The Hospital: A Game for Lovers,Jenny Bitner,2014-09-26,Fiction,"Jenny Bitner's latest yarn is a skewed but compassionate fantasy of love and convalescence, and of real life and death. It is a companion to her earlier contribution to The Fabulist, “Hansel & Me”; both are excerpted from her unpublished novel “Here is a Game We Can Play.”",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-hospital-a-game-for-lovers/
ZK0AC5901Lo3ZdE1uJXhnsRiLlM=,Extractions,Heather Bourbeau,2014-06-13,Fiction,"Technology's promise is so tangible in this tiny, potent tale of endurance.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/extractions/
95hiUvKnDhuZv0QG4bYunwgWlDk=,Listen: A Fable,Curtis VanDonkelaar,2020-08-11,Fiction,"Michigan author Curtis VanDonkelaar's flash fiction ""Listen: A fable"" is an allusive, allegorical, and unsentimental look at the militarist imagination.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/listen-a-fable/
B6Tz9tvmvGEcSkw6RsjCMQAn7Jo=,Devil in Her Heart,Loren Rhoads,2021-10-15,Fiction,"Please enjoy this delightful little tale, in which the secret of a certain Fab Foursome's extraordinary success is revealed.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/devil-in-her-heart/
5JlLYpeuQPDW3y+U3GMNyPwqNy0=,Incident at Oscuro,Steve Moore,2009-10-16,Fiction,A remote roadside encounter brings one driver into strange proximity with a time of myths and legends ...,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/incident-at-oscuro/
xqtjHEXSoB9YZBx/EUfeUxQq0GU=,In Our Hearts Risen,Olga Zilberbourg,2015-01-02,Fiction,"What do you do with an android that malfunctions? The runaway replicants of Blade Runner might suggest one brutal fate, but Olga Zilberbourg's Fabulist debut ""In Our Hearts Risen"" imagines a beautiful alternative.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/in-our-hearts-risen/
sC7B/B3HSzzfCp5pSyXbjztcpEE=,The First Review of Strangers' Restaurant,Sharona Muir,2021-09-03,Fiction,"In which an obdurate snob in a surreal alternate universe is taught humility by a blueberry, a waiter, and an incorrect woman.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-first-review-of-strangers-restaurant/
PhSA8EcAe9BLYmiGptu65qkxceE=,The Exultation of Eidolochrome,Mel Reynes,2022-10-07,Fiction,"Don't be fooled by the breezy, chatty tone of this deeply creepy tale of internet romance and obsession.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-exultation-of-eidolochrome/
4gFLKfwe9r9WK4rE78d+yEaYX0M=,Wax Works,Rin Kelly,2021-03-26,Fiction,"In this wicked little stinger, social satire and speculative fiction converge to burst some techno-utopian bubbles.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/wax-works/
LUs7CFeyr3pxt02V4DapT/nmEbU=,Krishna,Hugh Behm-Steinberg,2014-11-25,Fiction,"Bay Area poet, professor and publisher Hugh Behm-Steinberg brings us this sweet serenade of a yarn, in which the protagonist's usurpation of a deity's musical prerogative brings only more delight to the world.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/krishna/
t97mX9s0su+x0e6eEJvsAaHdvjk=,Tree Worship,Pearl Abraham,2020-06-12,Fiction,"Breathe. Stand. Take it all in. Pearl Abraham's ""Tree Worship"" is a gorgeously slow, dreamlike window into a life in search of ""rootedness.""",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/tree-worship/
FOV3GmmSNaPWcXIHXbJCmg63VKw=,A Missing Christmas,Arendse Lund,2022-12-23,Fiction,"In this winter time of disruption, absence, cold and darkness, new hope is something we create together. Seasons greetings from The Fabulist.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/a-missing-christmas/
t9Zh9cTnvGEx8gkOzLXP18dUdt0=,The Blood,Sarah Boudreau,2022-10-28,Fiction,"We normally don't do funny, but when we do funny, it's sly, dry, and, in this case, archly creepy. Plus! 26 life for Magic: The Gathering fans. Happy Halloween!",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-blood/
Qyj/H9SXv9SwzzHgIwMzXaMRnZY=,Let's Do Earth,John Mosbaugh,2021-07-02,Fiction,"The pros and cons of a new incarnation are worth considering, but sometimes you just have to take the leap.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/lets-do-earth/
c3hHwfkOrpspTdRhDh6RRd5zcaI=,All That I Left Behind (We Are),L S Johnson,2018-10-31,Fiction,"L.S. Johnson's chilling tale of pyschological horror is a seasonal gift from all of us at The Fabulist to you, the hapless reader. Happy Halloween!",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/all-that-i-left-behind-we-are/
8GHtjs8iYQ6NApyufaQe9fB+0wc=,Non Ego Te Absolvo,Paul Negri,2020-10-30,Fiction,"The fate of Father Ambrose in Paul Negri's ""Non Ego Te Absolvo"" could easily serve as the storyline to a black metal concept album. Suffice it to say, just desserts are served to the piously deserving. Happy Halloween.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/non-ego-te-absolvo/
Atln5xnfvJkUwSVF8c6K7vPpvSo=,Worse Than Wolves,Colin Newton,2020-11-14,Fiction,"A holiday party in the California desert takes a surrealistic and disorienting turn, awash with all the unresolved dread and sublimated panic of a David Lynch movie.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/worse-than-wolves/
nYztAlt1dWqffPACaz9Al+U5hbE=,When Your House Shares a Property Line With Another Realm,Jerica Taylor,2020-06-19,Fiction,"The title of New England writer Jerica Taylor's short fiction may be a bit cheeky, but the story she tells is one of eerie, ongoing, and unnervingly close encounters with Faerie. Happy Midsummer from The Fabulist.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/when-your-house-shares-a-property-line-with-another-realm/
BqRSmwAiIafDlanWYt0umKh/a3s=,Under the Porch,Julia Patt,2013-05-31,Fiction,"By turns eerie and poignant, ""Under the Porch"" is an oddly sentimental fable of eight young lives marked by the briefest encounter with strangeness and terror. Yet when seen over the span of decades, the supernatural horror at the heart of Julia Patt's fine telling ends up being almost beside the point. — Editor.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/under-the-porch/
wGXP6l4XoKbPQg6ULsrt6s31aYE=,Origins + Generations,Heather Bourbeau,2016-04-04,Fiction,California author Heather Bourbeau builds a bridge between myth and time in her latest sequence of 100-word stories.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/origins-generations/
Te3W7gXfuJAuhEuEFkBctKKQQuc=,Don't Lose This,Noah Sanders,2014-05-16,Fiction,"A gift of memory, magic, and redemption comes with strange and demanding burdens.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/dont-lose-this-short-story-by-noah-sanders/
Lh4PVQqkTej1SsUvLDJuJkyFriw=,A Dark Sage,Alpheus Williams,2020-10-09,Fiction,"In this dreamlike, eerie and allusive little tale, a boy's mother ""disappears into the sky,"" carried off by owls, and a visitation of crows heralds a dark new presence in his life.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/a-dark-sage/
6avE/G1NIhM+jSSaRdI5bi6Djas=,El Ángelus,Luca Serrano,2021-08-06,Fiction,"In this allusive microfiction, an ambiguous apocalypse produces an equally uncertain salvation.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/el-angelus/
nvycYC5jwZvDEVeAVgj8v7OfN6E=,Watching Over Me,Galen David Bunting,2022-08-26,Fiction,The angel-story trope becomes something altogether more ambiguous and unsettling in this evocative tale of a strange childhood encounter.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/watching-over-me/
FeWZb6LO/1R4wluR7EXPqJfF/+I=,Reptilia,Ruth Crossman,2019-08-06,Fiction,"""Her tongue hasn't always been this way. She's pretty sure it was round and pink and human-like when she was born. It's taken a steady diet of coffee and swear words to get her to this point, but now it's unavoidable.""",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/reptilia/
++QqZ64wSjWwMKTyiG7+PFrauoY=,The Skin Shop,Rosanne Griffeth,2009-07-30,Fiction,This grim and grisly flash fiction would nonetheless wink at you — if it had any eyelids.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-skin-shop/
j00nq83V9TIuXYvrxdckbFye3eo=,Waking,Heather Bourbeau,2014-07-03,Fiction,"A ghost story of sorts, and a tale of seasons changing.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/waking/
9lZzg/H5Ub7s8v8sI7FI3Fqx9s0=,Hansel & Me,Jenny Bitner,2013-09-07,Fiction,"Jenny Bitner's fanciful, feverish ""Hansel & Me"" finds two step-siblings wandering through a forest known to be the home of a cannibalistic witch. Hungry, cold, abandoned by their sybarite parents, the pair fantasize about food, sex and serial killers — until all their fantasies come to life within a fabulous house made of candy.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/hansel-me/
sRVGJC6eF9zdYL2RpCV49B1iHlY=,Mother’s Fine Crockery in Shards,Susan Carey,2020-07-31,Fiction,"Amsterdam-based writer Susan Carey's preposterous and somewhat bawdy yarn concerns a woman, a man and a talking horse. Will the marriage survive?",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/mothers-fine-crockery-in-shards/
roTBuZnyUX+WJJ1X7eelg2D5gsI=,My Grandmother’s Face,Kellene O'Hara,2022-06-24,Fiction,Who do we become when our idealized identities conflict with our irreconcilable needs?,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/my-grandmothers-face/
1Ezfke2p/SpLH5jmQT5fBCMHvZE=,On a Thursday,Laur A Freymiller,2020-10-03,Fiction,"It's not quite a selkie story, but Oakland writer Laur A. Freymiller's ""On A Thursday"" is a haunting and contemporary spin on a timeless tale of the sea's gifts given and taken away.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/on-a-thursday/
nT2TJbT7M1otavkiIpkKfYbeufU=,Illegible,Nina Dewi,2022-07-01,Fiction,"When facial-recognition technologies become ubiquitous, who can escape the all-seeing eyes?",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/illegible/
gr4NIy6JvLCcTN1AHzKOD5ZLawU=,Sisters,Ann Calandro,2021-12-03,Fiction,"Ann Calandro returns to our pages with this sweet, somber, quiet winter's tale of endings, beginnings, and the great cycles and tiny details that define any ordinary life.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/sisters/
f0bS4YDFRFtdratU6wLn4q0hFbs=,Gleam,Niall Boyce,2009-09-03,Fiction,"A revolutionary new global-energy grid goes fabulously awry, leaving humanity's future in the hands of a Luddite colony in the Nevada desert.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/gleam/
+laQsu5j12cXAEGsa58hcqvdoOg=,HELLO MY NAME IS,Lisa Gregoire,2021-09-17,Fiction,"Sensitive readers, take note: This salty little satire, about a world where everyone wears a label describing their personality, contains cuss words and uncomfortable social situations — but may also provoke snort-laughs and even guffaws.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/hello-my-name-is/
EgDc5GUyjt1jCa34AYwR5PvSUfc=,Centaur in Brass 2041,Jeremy Adam Smith,2010-06-20,Fiction,"In an all-too-familiar future, virtual identities become their own justification — and the subjects of a sort of yearning that's quite impossible to fulfill.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/centaur-in-brass-2041/
JdUPP94ZnPL23AImnLZFpht9rIg=,Special Services,Dirk Van Nouhuys,2021-09-24,Fiction,"The Fabulist's first crime adventure is terse, vivid thoroughly hardboiled, with just a splash of the fantastic.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/special-services/
2JUQiL4c7r9206NyjEZNr+55ySE=,The Seedling,Jason Wyman,2022-07-22,Fiction,Self-knowledge is self-transformation in this magically surreal tale of sexual alienation and awakening.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-seedling/
/15/hmoOTaVdqUbW1bm1e47aLJ4=,Towards,Heather Bourbeau,2014-06-20,Fiction,"Under an alien sky comes this tale of primordial resilience, via Berkeley writer Heather Bourbeau.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/towards/
/V3R7NAbbgSapXYZzZ97tZh8BdA=,The Troll's Child,Sam Corradetti,2023-03-17,Fiction,"In this vivid vignette of identity and power, the shock of loss drives a supernatural being from despair to terrifying renewal.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-trolls-child/
KB6Rnholuu2F69Vtw8AzIYcuGIc=,Technicolor,Enya Mayne,2021-07-09,Fiction,"The Fabulist's first venture into the world of genre romance features generous measures of both teenage tragedy and fantastical phenomena, courtesy of Canadian author Enya Mayne.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/technicolor/
ddbLeeAxUQA1dD4Go29W3Uahdjk=,A Roadful of Ducks,Tantra Bensko,2009-05-31,Fiction,"A magical and surreal work of experimental fiction, grandmothers, and (of course) ducks.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/a-roadful-of-ducks/
/TFe7U2HjUGOGV5QhhN6VWVuHJw=,The Basque Wind,Anne Wilding,2020-09-11,Fiction,"Fancy a romantic travelogue, or maybe a mythic tale of elemental passions? Don’t let Anne Wilding’s “The Basque Wind” carry you away …",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-basque-wind/
qEMdRjxIcF0a+sM1Ldigtk2HiAk=,Valley PTA Hair Salon,Drew Cushing,2022-05-27,Fiction,"Absurd, witty, and just a teensy bit wicked, this odd and campy little vignette will provoke an escapist grin in these troubled times.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/valley-pta-hair-salon/
0EXnJto07M7zGxyKfogpvpKzkFQ=,Ascension,Kaitlin Flynn,2023-02-17,Fiction,"Caught between love and the abyss, a young girl risks everything to reach for the light.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/ascension/
AW/4GpYK022UwmQ45dytL1bKqMw=,Basket,Maw Shein Win,2014-08-21,Fiction,Two boys sat on a log in the middle of a valley. The trees surrounding them blocked out the sunlight and the boys had trouble seeing their hands in front of their faces. A woman appeared from a cluster of trees.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/basket/
UkDf0QEKYp1Njcsi+4LnqXntDc8=,Think Warm Thoughts,Allison Whittenberg,2021-12-10,Fiction,"Evocative, succinct, there's an oddly peaceful sense of wintertime quiet to this apocalyptic microfiction.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/think-warm-thoughts/
JCIup42ZKl/0dBZ4jmGz3XqOBjI=,An Honest Attempt,Bosley Gravel,2009-01-08,Fiction,A tall tale in the classic sense ...,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/an-honest-attempt/
hMDi1iPHqxHLKsZ0fJDNJ35f9pU=,Zenith (My Fantasy America II),Elizabeth Gonzalez James,2020-07-04,Fiction,"The city of Zenith is known for the hundreds of dirigibles floating cloudlike above the ground. Each more fantastic than the next, the airships hang five hundred feet in the air.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/zenith-my-fantasy-america-ii/
Vg2SZeCdHI0aI8g2Wm5oGAgDvOQ=,We’re Always Looking for New Blood,Josh Bell,2023-02-24,Fiction,Caveat Lector: This short tale of sex and desperation includes some salty language and intelligent machines.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/were-always-looking-for-new-blood/
0dMRR4LTo1WHmgKqvd332Jm6bTY=,Tales of the Natural,Tantra Bensko,2008-11-23,Fiction,"A magical slice of life envisions love and its peculiar, particular pathways ...",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/tales-of-the-natural/
9BjavzAh9B0mDVUQKZKfpqhT8R4=,The Rattlesnake,Elena Gomel,2020-12-19,Fiction,In which the Gorgon's rageful vengeance against male sexual violence becomes a terrifying mirror of her own wounded heart.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-rattlesnake/
yR11l914Vcqp2t/ENd9pc02rqB0=,Carpet,Joel Page,2018-12-19,Fiction,"""I am a carpet of pornography formed by discarded sex worker advertisements along the Las Vegas strip, circa 1995."" So begins Joel Page's blithely surreal tale of sex, commerce, and the personification of the object.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/carpet/
sZGnySyVTBZ05Fzc1ce7vt9b/RE=,'Fire on the Mountain': Three Excerpts,Terry Bisson,2020-06-05,Fiction,"In this bracing and provocative alternate history, a Black socialist utopia rises in the Deep South after John Brown's 1859 raid on the federal arsenal at Harper's Ferry succeeds.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/fire-on-the-mountain-excerpt/
aJjkLlFMj/W051iSnjOO4ILI/Wg=,A Field Guide to the Ethereal Spectrum of Night,Kurt Newton,2022-06-10,Fiction,"Those flashes, glimmers and glimpses of light that illuminate the darkness? There are types. Cladistics. Causes and effects. We hope this brief field guide will bring some insight to these nocturnal glimmers.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/a-field-guide-to-the-ethereal-spectrum-of-night/
