fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
wcaCKRYSUHo/xWLtJyNNYix+yhU=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/tagging.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/wI6yiD8itygGtjEC5Ri6FZhZjx8.json,True
PXcMft75vLR3Lf21iJ2XDQVI2/Q=,Darker Matter,,darkermatter.com,1998-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter, douglas adams, interview",,,,https://www.darkermatter.com/issue4/douglas_adams.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/wsW6grEVu83lNHphPhcluFvwkSI.json,True
zg9vY2Se6E7Pq9viC0GrFIop2SU=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/head_on_a_stick.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/Djw1eoemgRAjGGp5TICe7NT58VU.json,True
mgJsBqEn5ET/wTbvIm3VNkcB1+Y=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/fo+87zjDkm-tkKH22FO5V2YS364.json,True
fvCBt3oqN79CBYXg/7olkKXodZQ=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/wHn1r0GkfqTaIcVUVujT5lwYrU4.json,True
OwjgfCIi5f+O83lbPfI3VdA68BU=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/true_history.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/pT3yLbxzaZX6el3PPKDekCAOvvI.json,True
OrjmKBTotEAKGKRMbiih1RZ0PN0=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/fame_game.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/rO1K5ktcSVFUVbjeV5tt9nPFOMk.json,True
Ayn42eU3y8va0NofJwp0gZI1jeg=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/sponsored_by.php,Sponsored By . . . by Hank Quense,Free online science fiction magazine,./scrape/jsonfiles/2TFTpKmkqt1gq27acs035SYxS6Q.json,True
tsELcHpYrSnY51Rz8RhpiNF7m5s=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/editorial.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/HyAhaZJRk30zTaRu417NBq05UTQ.json,True
zqsufl03WYPvgM8gWFs0Nx4BwHM=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/G4wah1Y9qWpsQce4pZN6CSUTRQI.json,True
DzcI/c/NIPWEcA/mmiqnRNXuoic=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/black_orophant.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/TINZE08ysZ0Mg2YSKKoApw5dr5w.json,True
mPCYjfJWqfLF9QlRq1LCS+9ERwM=,Darker Matter,,darkermatter.com,1998-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter, douglas adams, interview",,,,https://www.darkermatter.com/issue2/douglas_adams.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/d7K5Z3k24xqW2KT3IX6qhsriLxs.json,True
EtBRptJQBEl2n1ONVvYy7codb/o=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/final_report.php,Final Report by B. A. Barnett,Free online science fiction magazine,./scrape/jsonfiles/M3FsGVTBeWsLgY3O1jpTYKvKicY.json,True
Q4ndpROlkG41JpQ7l5GeaB0wOtw=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/raft.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/FPQexll9p5dRDEqZK19j0RE8hdA.json,True
JAKFVHsdnZhiDI/IxWu6M0W0Ek4=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/editorial.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/hq+N8EvuhniuciRQ2ZSRzrvK7wM.json,True
MGullyXLlNr7gZErYOhwbS4Zfuc=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/starlings.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/EYNI40+MRY743YfGoR7xg7lgpB0.json,True
0XW4XXRooXw5QGNjgObFprGfDOM=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/ftl.php,Faster Than Light by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/KYvqLKD3dlL-dhfr04G-Ac6phww.json,True
1qnw/sCxH3DptrydSbi34SFKK48=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/zinzi.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/WRjUjY+qA1T2lpL39sGW9mfF6fE.json,True
JQAK64Hr7IRHwnbEH6MsdU/NRpw=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/aliens.php,What is E.T. Really Like? by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/Bs2KMzyG0AkryCM+-bJyFsJybtY.json,True
1V6gunjgF+wztZbx+UbssBTgxRI=,Darker Matter,,darkermatter.com,1998-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter, douglas adams, interview",,,,https://www.darkermatter.com/issue1/douglas_adams.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/k7KjL1oqG2BP7oK7jbLNNUJiyiA.json,True
a9iuFAeITRT6kXEm7LDpg2m91tc=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/editorial.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/Ym9L5UVuay7r4ePPnz9qMdPTUpE.json,True
AV0uhetVKMdi1IBZxlrzoCkwS3c=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/editorial.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/1Y7+hSOernPjaHaJY603bPEj2TM.json,True
qZKLW6qZcCeuMwHAVnWtQDpdXF8=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/end_of_the_universe.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/CImVPqjZqAeJVX0pYCIIonD1L4s.json,True
6hsV7/gbKI9MrN7/kkXOohGgcEU=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/NnO0Qym1IrghiLHJcPUMdaivqvk.json,True
7k+cSCcCaL7bxguCvz1e6oDDYjg=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/avatar.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/DXj7zRpJMMsEikZk9+Hodaqo8zY.json,True
JgSlE1HcJBiuiFGc+LVnSRI1vLs=,Darker Matter,,darkermatter.com,1998-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter, douglas adams, interview",,,,https://www.darkermatter.com/issue3/douglas_adams.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/VzqiCXYNTJXr1Ojp-4Lq4eMwwk4.json,True
b8+No8VNJujfKscg8cBb2srKqeM=,Darker Matter,,darkermatter.com,2005-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/generation_spaceships.php,Generation Spaceships by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/Pz5BLC5omQVrJZR3mUtRyTMtCGQ.json,True
kMNHUcuaX1Ie95qbbcZYv5Z8npY=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/peroxide_head.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/C6gSUZ72nIEe3TwlSzmAt96dt7s.json,True
JeqeBgi0pPPZ7e7MaDBSCY+uWwk=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/severance_pay.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/JffUcQUVJEl8ICoiaDNTF6Fw5Jw.json,True
H3iLRWlZF72esRBKDQIN63ENE4I=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/dearest_etruria.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/x13KbM63D5IsyQeP8QBZfA61xXU.json,True
ioxhu0XQMsPa9f3vlixz83BL0BU=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/exoplanets.php,Exoplanets by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/lD3FNkY+ECvj3wheKAGRF0jFg5E.json,True
