fingerprint,title,author,issue,date,categories,tags,id,license,comments,source-hostname,hostname,source,excerpt,filename,has_text
dWRGH1YDZSNxOWEnGe+rakoYeRY=,Beyond Comprehension,Russell Nichols,63,2019-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/beyond-comprehension,"“Can you read me a bedtime story?” says the recovering boy, his brown eyes half-closed.",./scrape/jsonfiles/IwnxBk7UlsWulz0TD-lo41Czxks.json,TRUE
EukHN64RQDpDDKFfgh9j2cOwBnc=,H&D Plumbing,Courtney Floyd,48,2017-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/h-n-d-plumbing,"“Does your toilet burble, threateningly, when you walk into the bathroom?” a woman on the TV asked. Her words were soft, but danced with the rhythm of a slig...",./scrape/jsonfiles/156cgbHUI05jbah2lvTCwsdmdik.json,TRUE
ob9AbVsaMJaJuMCsFsAMYHKKuuA=,Questions to Grow Up On,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/questions-to-grow-up-on,,./scrape/jsonfiles/HtsYwK9WDZNLTpntQ7tu9340Z90.json,TRUE
JyHUxqHpaOUcGjT8D32wD9wOxBs=,Tuesdays With Molakesh the Destroyer,Megan Grey; illustrated by Galen Dara,19,2015-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue19/chapter/tuesdays-with-molakesh-the-destroyer/,"Molakesh the Destroyer moved into the house next door the summer I turned fifteen. There was the expected neighborhood gossip at first, with Mom and her frie...",./scrape/jsonfiles/k6paZmPdi4jWKwAPlEUJNJgA++8.json,TRUE
mKjwCxIIVvzEbQX6DRtIZZ9cjXE=,Not So Super,Rob McMonigal,12,2014-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue12/chapter/not-so-super/,"Unfortunately for me, the day I became a superhero, so did everyone else.",./scrape/jsonfiles/6ONa2Ujut8pfx3cSPlqB68l69GQ.json,TRUE
oqdiwv02iMVYxKb6dR0IeV8oysk=,Object-Oriented,Arkady Martine,53,2018-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/object-oriented,I’m staring at the skew on the third floor of an incredibly beautiful eighteenth-century building when I burst into tears again. The floor isn’t a floor anym...,./scrape/jsonfiles/S8bMZnQ3GsA4Ko5psl+Lo5dokdA.json,TRUE
rRvFzfW/vlHmYoCrN23pmL/tARc=,Good Ghoul Gone Bad,D.B. Starler; illustrated by Galen Dara,14,2014-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue14/chapter/good-ghoul-gone-bad/,"Things hadn’t really been working out for Lola since she died. Life, if she could even call it that anymore, had pretty much gone down the crapper.",./scrape/jsonfiles/0msRoX4pbJD6wbx9o0w9sDjmXAM.json,TRUE
aUM1670QhGOhTQB3fv0igQbyIzc=,A Place Out Of Time,Elsa Sjunneson,34,2016-07-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue34/chapter/a-place-out-of-time/,"The machine has been finished for a month. Her hull is still shiny, the locks are still engaged and haven’t been opened since I finished building her.",./scrape/jsonfiles/7LzwMA9pIF71Gb8Y+EbS+6RKXJU.json,TRUE
7Is1N9B3Y3jyWpt0YNkaWY9w+pU=,It Happened To Me: I Melded My Consciousness With the Giant Alien Mushroom Floating Above Chicago,Nino Cipri,41,2017-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/it-happened-to-me-i-melded-my-consciousness-wtih-the-giant-alien-mushroom-floating-above-chicago,"I was twenty-three, and on my lunch break when the giant alien mushroom bloomed in the sky over Lake Michigan. I nearly spit out my Jamba Juice when I saw Am...",./scrape/jsonfiles/oEaqvJK+gwPyDiQPrdea+wC65W8.json,TRUE
pCVoQDnS/+afM3CKP8pjOEP2WwI=,The Last Job,A. A. McNamara,5,2013-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue5/chapter/the-last-job/,"Three minutes into the heist, Louie was dead.",./scrape/jsonfiles/+cYJtmy9vba3QhNkWmwPANYRAto.json,TRUE
a47+4B0f9DgeI307ihjYxdtWEQU=,Radio Static,Carolin Jansen,72,2019-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/radio-static,"If you can hear this: I know the blood on the wall was overly dramatic. My handwriting was appalling even before I became an amorphous apparition, so I shoul...",./scrape/jsonfiles/i1a1UfajhcbBQgH42CEZnBMwnzA.json,TRUE
VCmg86hCI+yheNA1bV//wHSU3f4=,The Autumn of June,Stu West,64,2019-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-autumn-of-june,"I always knew my grandmother was friends with the gods. I often came home from school to find them sitting around the kitchen table, muscular and athletic in...",./scrape/jsonfiles/k97-sxb8Wa85WWNpDkLupdj2kmQ.json,TRUE
2wp0yDfJJZ6D6sTEEV0DWg9CnlU=,After Living With Him,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/after-living-with-him,"Peeling cocoyam with my mom one evening in the kitchen, she put forth the question that must have long been bothering her mind. Steam had formed tiny beads o...",./scrape/jsonfiles/CsoyPG0UlTYC5oJPo9yog8cIk7w.json,TRUE
YXUVxGCOw7llcj/pbA2Mcycndyw=,Diamonds and Pearls,JL George,88,2021-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/diamonds-and-pearls,"Diamonds are two a penny, but everybody wants them anyway.",./scrape/jsonfiles/DJAsCfkwSD+8ATNi5ezCkAXdrqY.json,TRUE
GXEZM+roDUmNQyMyNEudO54rpNg=,Holes The Body Leaves Behind,Jeremy Packert Burke,83,2020-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/holes-the-body-leaves-behind,"I was not surprised when the roads I’d yo-yo’d over all these years ripped themselves clean of the earth, knotted themselves into the rough shape of a body, ...",./scrape/jsonfiles/gY-Pjhl0eEmputx-Ept8JfUKLlY.json,TRUE
T7rQbZ+1yVqqGtmlHzQBqA5Vns4=,Dirt Under the Nails,Aaron Menzel; illustrated by David Plunkert,79,2020-05-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/dirt-under-the-nails,"Douglas dug deep into the sack of thumbs, sowing handfuls as he walked the muddy field. He kicked a few strays into the furrows, nudging dirt over wrinkles a...",./scrape/jsonfiles/AVrpC5O0m5dd2LAfX0nwdR38Xsc.json,TRUE
mysSyRkfzq2aobnCKi1qQ+nOaXQ=,"To Fall, and Pause, and Fall",Lisa Nohealani Morton; illustrated by Galen Dara,20,2015-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue20/chapter/to-fall-and-pause-and-fall/,"The club is brightly lit as the audience files in. It was clearly never meant to be. With all the spots and floods on, the uneven concrete floor and black-pa...",./scrape/jsonfiles/pGW7lphzGKtItzJdSPw2cUVvOXk.json,TRUE
0ro/Dxp6HIgDsR/Pbc8GlSWEJ1s=,Tangled Sheets,Chuck Wendig,12,2014-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue12/chapter/the-forever-endeavor-part-nine/,35. TANGLED SHEETS,./scrape/jsonfiles/ym+YNNVBaBKAYG5POrsVn5rZz2k.json,TRUE
jdzahAxaLjF22H0wpwhY26nPaCw=,Not Quite What We're Looking for Right Now,Jana Bianchi,96,2021-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/not-quite-what-were-looking-for-right-now,"Dear Ana,",./scrape/jsonfiles/F93oMEoOh0DBOULB5j754ZgFGlw.json,TRUE
fRvdIdiVIZsKLyvO7w5aaoWlbAE=,Better Girls From Broken Parts,Nino Cipri; illustrated by Galen Dara,17,2014-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue17/chapter/better-girls-from-broken-parts/,Rachel and Jasmine stared warily at each other while their mothers went through the long process of two grown-ups greeting each other. It’s been so long! Let...,./scrape/jsonfiles/bk0n3Ez9VQEyPs2QbRcPOEuF5cE.json,TRUE
X3K8xqpYYw6ecsu8oJkSJMmB810=,A Plate Of Strange Meat,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue9/chapter/the-forever-endeavor-part-six/,22. A PLATE OF STRANGE MEAT,./scrape/jsonfiles/KimC6XmIVEsoiNQSH+TQoG6ku3c.json,TRUE
JEJuhYZRp4BFCluGGOEU0GZ5D24=,Stay,Daniel José Older; illustrated by Galen Dara,22,2015-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue22/chapter/stay/,"They came in boats and airplanes, armed with false documents and holy terror and a cautious wariness of what they would find. They came and breathed sigh aft...",./scrape/jsonfiles/lxARel2wz07aqyxscKIwhqyk0wU.json,TRUE
ikKlef+Mej38SbGrCJPO8VtJfjM=,Fascism and Facsimiles,John Wiswell,56,2018-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/fascism-and-facsimiles,"This was the moment that turned villains into legends, and the two of them were just henchmen. LaShawn braced his elbow on the battlement, training his laser...",./scrape/jsonfiles/Ka02yQohkVbAoA6sBYDO9eyGe+g.json,TRUE
bMhmP6d4Yz9nHEgWbLE7aMno+OQ=,Rain and the Designs of Your Body,J.M. Guzman,61,2018-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/rain-and-the-designs-of-your-body,"Before we muted ourselves, Julio went to show me the skin of his spine. He unwrapped himself: a jacket off, a cardigan peeled. At the time, I didn’t realize ...",./scrape/jsonfiles/qL1UGQBJ0lC6veSWTVYavFEiRiQ.json,TRUE
/cDOaFYSkV4CC6DOHp/Ktpudn2o=,The Middening,Allyson Shaw,92,2021-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-middening,"“You’re lucky if you marry a fisherman.” That’s what they told us growing up, but there are not many fishermen left around here.",./scrape/jsonfiles/9Kgx4S-k3QvwmbmGPg1gg-QJ3+k.json,TRUE
RhFLiH7gNAy3g7UQ++VSHHXBp6Q=,Skinned Knees,R.D. Sullivan,6,2013-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue6/chapter/skinned-knees/,I had always wanted a child.,./scrape/jsonfiles/WBmOrRHjyEIP6cxIcbyGwEr7ZDQ.json,TRUE
hUXZYuzO7M/AsNBz3Mq5Y3NcX+k=,River Boy,Innocent Chizaram Ilo; illustrated by Galen Dara,48,2017-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/river-boy,The first thing a River Boy knows is that he does not know until he knows.,./scrape/jsonfiles/f1iKLG32zzVu5V4HKO1T+YmThMk.json,TRUE
TwYICy//bwynV3vSVd048T/Mef8=,"Who We Once Were, Who We Will Never Be",Brent Baldwin,19,2015-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue19/chapter/who-we-once-were-who-we-will-never-be/,"Your dreams are my dreams, love, forever and always. We’ll go to the city and open a noodle shop, and I’ll steam bamboo baskets of dumplings while you roll o...",./scrape/jsonfiles/ePvGEb8W8Bb1xfBSuG3IKbd8ATY.json,TRUE
JIU2L8UWcjaoX0EgUJj/DTlJgvo=,Skyscraper,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/skyscraper,I was thinking today of a world without traffic lights where pushing the button on the dashboard for recirculated air would send the carbon dioxide we breath...,./scrape/jsonfiles/JEpAxtASsLxGqUjC49IeHMprOWM.json,TRUE
R0ie5wp9/3GgmT1fNXkxY0OoU/c=,A Silhouette Against Armageddon,John Wiswell,46,2017-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/a-silhouette-against-armageddon,"Someone’s trying to get into my coffin. Their shovel scratches through the dirt above, and clangs against the stones, resonating into my osteoporotic bones. ...",./scrape/jsonfiles/NwIAaFlEIaAPSiO28ftZ5-EWFcg.json,TRUE
jXkfCrZGQhmQig8hbAb+SCiTHGA=,Redemption,Mary Soon Lee,82,2020-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/redemption,"“812 years, 148 days remaining,” announces the wall as it wakes you up. You reach over to silence it for the rest of the day. Perhaps it is possible to pract...",./scrape/jsonfiles/q7EWj607EibTu7ai2TY5Q6yG4j0.json,TRUE
gVZqLp/6pr3TgmycJndOn1CFDe8=,How I Got Published (12 Tips from a Bestselling Author),Dominica Phetteplace,52,2018-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/how-i-got-published,1. First I wrote a book. Don’t skip this step. It’s a fact that most people who want to publish a book have never even written an entire one.,./scrape/jsonfiles/v0XgO8SEAZ+TD1g+0ybcPQeVWcw.json,TRUE
U6LZ7svfDt4R2l7GH1QRie1yCKE=,Due By the End of the Week,Brandon O'Brien; illustrated by Ashanti Fortson,64,2019-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/due-by-the-end-of-the-week,The only thing I hate more than group assignments is group assignments with Kelly Francis. I can’t even imagine there’s a more unreliable person on the plane...,./scrape/jsonfiles/yFkDt1ZEqOIQ5-ubePIb4ciGmv8.json,TRUE
NE4GgAHuXgwoYeXKblW2GnZ9b4M=,Aging Elements,Ben Francisco,68,2019-06-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/aging-elements,I. Earth,./scrape/jsonfiles/cqWXK3HMx4V20vZV9M651Ek7AT4.json,TRUE
vVgiUzMClxVXnZG4gfCjcqkn+sY=,The Roman Road,Vajra Chandrasekera,83,2020-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-roman-road,"The upload helmet is lined with buzzsaws, as you can see, diamond-edged and very sharp. We are assured by those who have undergone the process that it is pai...",./scrape/jsonfiles/JsAMrVojQ-bz+y9AWaHjEo-icY0.json,TRUE
UahUE5g8+QMXvpHNCq8mKs4MYlI=,We Are the Thing That Lives on the Moon,Gillian Secord,101,2022-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/we-are-the-thing-that-lives-on-the-moon,"We hear the static first. It echoes down from the sky, sizzling and snapping in our ears. We shake our heads, all fifteen of them, to make it go away, but it...",./scrape/jsonfiles/6rFt26obMUj73hgxtrRjbGpOPHE.json,TRUE
vPctnOA6rl3iCep6e9NrZCK39mg=,The Bird And The Worm,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue7/chapter/the-forever-endeavor-part-four/,"The Bardo Bar, Kathmandu: December 25th,2010.",./scrape/jsonfiles/tGr35+BZMHGo3C-LoI-DakSrXUg.json,TRUE
GVH/EUxpjFr9dB+XbAd2xYOvuIk=,We Who Stay Behind,Karl Dandenell,45,2017-07-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/we-who-stay-behind,"You are Explorers. Your bodies are enhanced with drugs, with ceramics, with metals, with neural chips. You stride the world wearing seven-league boots and wr...",./scrape/jsonfiles/brzMfJaK6VZOl-TYcbR9GQcS8MI.json,TRUE
3Tiyf8FNvOuVCOOP+23DTuAhOi4=,Parasitismo,un cuento corto por Alberto Chimal,65,2019-03-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/parasitismo,"Una niña escucha, extasiada, cuentos de sirenas. Por sí misma, esta es una imagen encantadora. Madres y padres gozan con la felicidad de sus pequeños cuando ...",./scrape/jsonfiles/w4SvqHLQ528EaDq7Pd0YaFiFp4Y.json,TRUE
UV5S1OnLIgO+3DWPzyOQrADdyVk=,Fairy Tales are for White People,Melissa Yuan-Innes; illustrated by Galen Dara,30,2016-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue30/chapter/fairy-tales-are-for-white-people/,"Climbing up the basement stairs with a duck carcass, holding the slippery neck far enough away from his body so that his knees didn’t clank into the dangling...",./scrape/jsonfiles/Lr1zYAUQc4K0B6iQW3V4+T2SO84.json,TRUE
e4tC3oX/fhjsxHdPEdCO2X5loVI=,As Though I Were A Little Sun,Grace Chan,102,Spring 2022,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/as-though-i-were-a-little-sun,"It has been one hundred and thirteen years since our mother’s pear and red date soup slid along my tongue, and now I taste only the sweetness of soil and rot...",./scrape/jsonfiles/WK92AQl73fPk30hr88y97QM40LU.json,TRUE
AS5MGrM41YmrM3qyC1+HKLf0q3w=,Scarred,Damien Walters Grintalis; illustrated by Galen Dara,2,Summer 2012,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue2/chapter/scarred/,Violet carved her hate into her flesh one name at a time.,./scrape/jsonfiles/j3gSqswDkPU5sv-05EzpdkLznOw.json,TRUE
yky1oydn4rU/0owEDg59mW1Lmfk=,Fare,Danny Lore; illustrated by Francesco Giani,70,2019-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/fare,"The change always starts at the back of DeShaun’s neck, and it takes everything not to claw the beast out — to not let it peel him open along his spine like ...",./scrape/jsonfiles/WKD8BvovHcrjPAR-YB9741vckeE.json,TRUE
unF5n8oj/oYUWH6sikT1AIG5tK4=,"FEMALE COMPUTER WANTED, APPLY WITHIN",Innocent Chizaram Ilo; illustrated by Reiko Murakami,73,2019-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/female-computer-wanted-apply-within,“You don’t have to fret too much. I will tie a headscarf to cover the air vents on my neck and not speak to anyone until I get to the café. No one will even ...,./scrape/jsonfiles/yyd6qiZEbYzAyOoWKReSDvKfqdY.json,TRUE
jHWy2t6qcFgg36yfBASNcCzjuqw=,Signal,L. D. Lewis,70,2019-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/signal,They were told not to smoke anymore. The Colossus could spot a cigar cherry a mile out and he’d fire off one of those back spears fast enough to have you inh...,./scrape/jsonfiles/ApdW7GLw9Iw4iudnER1sqqUb+Q4.json,TRUE
KGZeW30SgsSLI+ltW6owT9hPlpc=,Try This One Weird Trick for A More Youthful Look in Minutes,Maria Romasco Moore,84,2020-10-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/try-this-one-weird-trick-for-a-more-youthful-look-in-minutes,"It is remarkable what a difference it makes. Only twenty minutes a day. No special tools required. I was skeptical at first, but then I tried it and saw the ...",./scrape/jsonfiles/PvccMLPO0ISs7dVKtFgDBcX72zw.json,TRUE
jtXih07JcRbKN2yKRZAe1uOH0VI=,Pigeons,Nibedita Sen,58,2018-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/pigeons,The pigeon is a broken knot of feathers convulsing on the sidewalk. Kat waits for it to fall completely still before reaching forward to scoop it up. She cup...,./scrape/jsonfiles/yowT7jVW1Xi3CR7TFUyJ+Z7ccio.json,TRUE
vyqKIKOfjrUINLi6Hy5QIrJJK1A=,The Boy with the Golden Arm,Danian Darrell Jerry; illustrated by Don Rimx,86,2020-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-boy-with-the-golden-arm,"Behind the Coliseum, a crowd gathered around a food truck and a booth that sold vintage audio gear. A line of hapless emcees stretched around thirty-five or ...",./scrape/jsonfiles/XDyafkx22iIPg0ILcrUaYf9NHaE.json,TRUE
jyVdylpJjkUr4pUZ878nPcjVDk8=,Before the Burst,D.A. Xiaolin Spires,54,2018-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/before-the-burst,"With the thunderclap, I dropped my spoon. Sinigang soup bled into my jeans, spreading in darkness, like the shadow covering us all. Everyone looked up. From ...",./scrape/jsonfiles/HydyYGeUwuwWVqcjqhJ+M0KJFX4.json,TRUE
xP/t/J5kSceZx4ws0lSDW5HDesg=,Song of the Balsa Wood Bird,Katherine Quevedo,99,2022-01-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/song-of-the-balsa-wood-bird,"I followed my mother through the open-air market, weaving between stalls of wallets, pan-flutes, and knitted ponchos in crayon-garish colors. Tourists’ sunbl...",./scrape/jsonfiles/CINsjxJ2wTEmprPOP97xZfzlArw.json,TRUE
9LC3f7cM2OCZAy8xKerEjCkTe7k=,Down,Jo Kaplan,82,2020-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/down,"When Maribel woke up, the furniture in her apartment had been rearranged. She was sure of it. Someone must have come in, perhaps when she was sleeping, and t...",./scrape/jsonfiles/nTINCkvgRRjMsl7MFGyNONw+jTU.json,TRUE
0bR3RlwUgMfxJX7Y7GQ9o3B3Os4=,Tablecloth,Kathryn Kania,62,2018-12-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/tablecloth,"There is a cat sitting on her kitchen table when she wakes up. She does not own a cat. She has never even seen a cat near her building. But still, there it i...",./scrape/jsonfiles/TsdfQe89Lg4OrxcVwgyFvTNlu5c.json,TRUE
eVP/ymU7VwFxlCVGAVxEQD9VLJg=,Like Stars Daring to Shine,Somto Ihezue,103,Summer 2022,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/like-stars-daring-to-shine,"When the boy opens his housing unit’s steel door and the incandescent lights pour into his face, he does not blink away. “Little suns” — this is what everyon...",./scrape/jsonfiles/4AW9UTHknjQ0XK+JwzdoEgL4OkA.json,TRUE
C3v0hF7EEf7sD5l2t4CAdLyH6As=,Revision: Chapters One-Three,Andrea Phillips,22,2015-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue22/chapter/revision/,Chapter 1,./scrape/jsonfiles/32ZRE4MVKwJK-U8bZTU76opfpzo.json,TRUE
4R2Xbsj/gLAbRfc4qF1zdEqvEVw=,Papa Legba Has Entered the Chat,DaVaun Sanders; illustrated by Manuel J. Iniesta,103,Summer 2022,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/papa-legba-has-entered-the-chat,"Another child stolen from us, and you allowed it. No matter that you drove straight home once you finally heard, up past the border, only stopping for gas in...",./scrape/jsonfiles/WoYssy6OMAKnwI5N0pSBmC01dLg.json,TRUE
lydeEQMhLEBU/lcam2JENHUQ8wk=,Fireside Magazine,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/magazine,"Fireside Fiction Company has two goals: to find and publish great stories regardless of genre, and to pay our writers and artists well.",./scrape/jsonfiles/lLzlRdcLm8g6K1Yc6yaJp0lgK6U.json,TRUE
XM3Pfp+jRDQhM7S64pNkPnFzr0w=,The Last Librarian,Trace Yulie,79,2020-05-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/the-last-librarian,"I’m in the library, inches from my target, when I get shot in the back. A real library, for chrissake. Who knows why it’s even here? The last one bold enough...",./scrape/jsonfiles/hMzSbUrLbuzrB8dd77pg0r-odCM.json,TRUE
XmteXuE1/q1HsTyCHUEwVBG+Krs=,An Honest Mistake,,,,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue2/chapter/an-honest-mistake/,,./scrape/jsonfiles/-neZTPXNgKgn5FyZB2a9nf2Gg4s.json,TRUE
s7ox1pORLDgfl2iD1b0ajYpKGbM=,Rhapsody in Blue Shift,Stephen Blackmoore; illustrated by Galen Dara,2,Summer 2012,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue2/chapter/rhapsody-in-blue-shift/,"When I met George Gershwin I was cleaning up D Deck. The gravitational retractors had gone offline, sending clothing, magazines, a thousand odds and ends int...",./scrape/jsonfiles/2IfRqopBFBvGc5w34taSJoHqEr8.json,TRUE
