fingerprint,title,author,issue,date,source-hostname,hostname,filename
K8/tB+cEKssniSwvmHmJP+CHEJM=,Living on Marxist Time,Benjamin Chambers,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,livingonmarxisttime.html
fi/Db24R7K2mmPAo1X+8kuzHk24=,Gone but Not Forgotten,Ray Tabler,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,gonebutnotforgotten.html
UZle4GU3O31DHhkPjrX/VSpx77o=,Intelligence Wanted,Daniel P. Swenson,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,intelligencewanted.html
NozUJ5y80VxLqpBdQPkq/8yjvQw=,The Girl With the Error Message Eyes,KGraham,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,girlwiththeerrormessageeyes.html
9/1wdxNUkc4WgiUPb2LR7FNcqPQ=,Monkey Heaven,Sam J. Miller,10,May 2008,AtomJack Magazine,http://atomjackmagazine.com,monkeyheaven.html
glwVhsx00RXJytmSERwgnEXmv74=,Human Remains,Bruce Boston,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,humanremains.html
PiwPGTH4nKHvCmjP4kVMn4mvaZY=,Swimming Pool of the Universe,Nick Cole,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,swimmingpool.html
RpH8Lle7+mcOK1Po6Adp8rCGlSs=,The Things I Will Miss,J. D. Riso,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,thethingsiwillmiss.html
dq+jn5qIliyp4a8QSfmp7Q/BCkI=,But I Had No Body,Russ Colson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,butihadnobody.html
c9pESuXgGS45by6Qpfr6atmTSBU=,Raid,Barton Paul Levenson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,raid.html
9FFqokJMFLXVCuSn9hUHn3zJAHI=,Flora and Fauna,Leah Erickson,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,floraandfauna.html
T9EqPOTsAZXAsITda3F72Vqwktc=,Trafficking in Stolen Gods,Sue Burke,11,August 2008,AtomJack Magazine,http://atomjackmagazine.com,traffickinginstolengods.html
